"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"UBP1",4.53270647692036e-48,1.27986151193576,1,0.987,1.65652290905531e-43,"Upregulated in Hotspots"
"AC111170.1",4.54315139813692e-48,0.990206153932775,0.292,0.032,1.66034010996312e-43,"Upregulated in Hotspots"
"ADAM23",4.77582217592465e-48,-0.28538142268402,0.402,0.72,1.74537197241342e-43,"Upregulated in Coldspots"
"AP003059.1",4.85006880318473e-48,2.15498090152889,0.264,0.021,1.77250614481189e-43,"Upregulated in Hotspots"
"C16orf74",4.85416835377497e-48,-0.722180642614741,0.906,0.954,1.7740043665706e-43,"Upregulated in Coldspots"
"TMSB15B-AS1",4.94613837333853e-48,2.07224641546591,0.251,0.017,1.8076157299203e-43,"Upregulated in Hotspots"
"NPSR1-AS1",5.06106327250813e-48,-1.02868080124458,0.699,0.762,1.84961618357082e-43,"Upregulated in Coldspots"
"KCNIP1",5.1224030024287e-48,0.865955714013208,0.455,0.114,1.87203340126759e-43,"Upregulated in Hotspots"
"BCAS2",5.34326193602065e-48,-0.259641821802835,1,1,1.95274850713811e-43,"Upregulated in Coldspots"
"AC007292.2",5.57257159393601e-48,1.60931174810346,0.217,0.002,2.03655201471985e-43,"Upregulated in Hotspots"
"REV3L",5.58762766587243e-48,14.967456756523,1,1,2.04205440676974e-43,"Upregulated in Hotspots"
"RRS1",5.58930348826857e-48,-1.1232591776697,0.833,0.764,2.04266685282263e-43,"Upregulated in Coldspots"
"DISC1",5.66904437225612e-48,2.59962989499952,1,1,2.07180895628472e-43,"Upregulated in Hotspots"
"AC093912.1",5.74046077045132e-48,1.54295862013673,0.219,0.003,2.09790879316914e-43,"Upregulated in Hotspots"
"CFL2",5.7648822123871e-48,0.506321111286374,0.988,0.814,2.10683385333899e-43,"Upregulated in Hotspots"
"FBXW10",5.93915955591736e-48,1.79543612874127,0.221,0.004,2.17052525130556e-43,"Upregulated in Hotspots"
"SLC25A25",5.96733473759665e-48,-7.11649087288788,1,1,2.18082215320207e-43,"Upregulated in Coldspots"
"PPP1R36",6.14024068754699e-48,-1.10861606029531,0.876,0.86,2.24401236167092e-43,"Upregulated in Coldspots"
"AC006213.3",6.18346336739386e-48,1.45313321434047,0.312,0.041,2.25980852224776e-43,"Upregulated in Hotspots"
"PROS1",6.31835937472189e-48,8.3954388612844,0.759,0.905,2.30910761708586e-43,"Upregulated in Hotspots"
"AC022509.5",6.45020912895751e-48,3.22008019146453,0.222,0.006,2.35729342826881e-43,"Upregulated in Hotspots"
"ECE1",6.58485003166443e-48,0.847829541098439,0.976,0.977,2.40649929257208e-43,"Upregulated in Hotspots"
"AL161938.1",6.6943576985853e-48,2.17527681757475,0.221,0.004,2.44651996452498e-43,"Upregulated in Hotspots"
"AC010642.2",6.70211425390522e-48,-1.50649558737971,0.966,0.91,2.4493546752322e-43,"Upregulated in Coldspots"
"AL355835.1",6.76592370210459e-48,1.94017405885112,0.249,0.014,2.47267447617114e-43,"Upregulated in Hotspots"
"SLC16A5",6.81617285612266e-48,-0.90601674190537,0.96,0.983,2.49103853199859e-43,"Upregulated in Coldspots"
"MYO16-AS1",6.98900757623803e-48,2.38205812263315,0.248,0.015,2.55420270881195e-43,"Upregulated in Hotspots"
"LINC01312",7.0048782624846e-48,2.9026363948809,0.218,0.003,2.56000280980762e-43,"Upregulated in Hotspots"
"LYZL6",7.15948313502974e-48,3.18645452932123,0.21,0,2.61650470652797e-43,"Upregulated in Hotspots"
"AC015660.1",7.15948313502974e-48,1.64915381477547,0.21,0,2.61650470652797e-43,"Upregulated in Hotspots"
