"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"PSG4",7.69950774443184e-26,-2.98399952130628,0.13,0.637,1.70028229520288e-21,"Upregulated in Coldspots"
"TPM1",1.10905757220876e-25,3.21089678249862,0.642,0.114,2.4491318367086e-21,"Upregulated in Hotspots"
"ADK",1.1366108663416e-25,-1.7164711187596,0.663,0.964,2.50997777614215e-21,"Upregulated in Coldspots"
"CELF2",1.63982806238874e-25,4.01122725542325,0.56,0.073,3.62123231017306e-21,"Upregulated in Hotspots"
"SLC38A6",2.45215398677801e-25,3.96706611063792,0.57,0.088,5.41509164900187e-21,"Upregulated in Hotspots"
"BZW2",2.46801535395133e-25,-2.06999893550885,0.332,0.819,5.45011830613073e-21,"Upregulated in Coldspots"
"DEPDC1B",3.20059411148202e-25,-2.70112884881619,0.145,0.648,7.06787197638574e-21,"Upregulated in Coldspots"
"PHYHIPL",4.43150686623815e-25,-3.78659636189081,0.067,0.549,9.7860966127137e-21,"Upregulated in Coldspots"
"ADGRG6",5.66405299528297e-25,-2.60248855330617,0.166,0.679,1.25079282294834e-20,"Upregulated in Coldspots"
"KMO",6.19307552995065e-25,-3.25084499682588,0.057,0.539,1.367616869279e-20,"Upregulated in Coldspots"
"OPHN1",6.58138373059179e-25,-2.29834127456975,0.487,0.86,1.45336696922658e-20,"Upregulated in Coldspots"
"MAN1A1",7.1983429992691e-25,2.80395367480626,0.751,0.337,1.58961008452859e-20,"Upregulated in Hotspots"
"CLIP1",8.10235862410416e-25,-1.51407901456465,0.601,0.917,1.78924385496092e-20,"Upregulated in Coldspots"
"SLC9A9",8.54105605844719e-25,3.95055860708973,0.627,0.161,1.88612140938689e-20,"Upregulated in Hotspots"
"MB21D2",1.02158444346312e-24,-1.7740672209583,0.207,0.741,2.2559649264996e-20,"Upregulated in Coldspots"
"DLG5",1.2878099270581e-24,-2.06037261797948,0.269,0.772,2.84387066192241e-20,"Upregulated in Coldspots"
"TSHZ3",1.30982401650976e-24,3.74024072619907,0.528,0.047,2.89248437565851e-20,"Upregulated in Hotspots"
"RHOBTB3",1.38798617081071e-24,-2.59494658929378,0.539,0.845,3.06508986100129e-20,"Upregulated in Coldspots"
"BMP1",1.61875612731066e-24,-3.40525647848626,0.104,0.58,3.57469915594013e-20,"Upregulated in Coldspots"
"THSD7A",1.6438878632139e-24,-1.58772364039821,0.415,0.896,3.63019756833526e-20,"Upregulated in Coldspots"
"MEF2C",1.6806499259648e-24,3.70924049949493,0.56,0.083,3.71137923150806e-20,"Upregulated in Hotspots"
"LRRC1",2.45597781096466e-24,-2.3245252063734,0.202,0.705,5.42353579995326e-20,"Upregulated in Coldspots"
"BCL2",2.92830625533239e-24,-2.0933037198394,0.389,0.829,6.46657870365051e-20,"Upregulated in Coldspots"
"MYO5A",3.45353806825496e-24,3.49452228310566,0.565,0.088,7.62644811612743e-20,"Upregulated in Hotspots"
"FBLN1",3.54765336671155e-24,-1.99192669946432,0.383,0.855,7.83428292970912e-20,"Upregulated in Coldspots"
"CSF3R",3.58851955528748e-24,-2.20234647913469,0.192,0.71,7.92452773394133e-20,"Upregulated in Coldspots"
"EXOC6B",3.605261344633e-24,-1.83898199866988,0.829,0.964,7.96149862735305e-20,"Upregulated in Coldspots"
"ZNF117",4.17168629704962e-24,-3.63471553591826,0.29,0.705,9.21233484977467e-20,"Upregulated in Coldspots"
"PIAS2",5.50795787424013e-24,2.94029375387573,0.565,0.078,1.21632233736845e-19,"Upregulated in Hotspots"
"RUNX1",5.54977308719518e-24,3.63060516627687,0.565,0.093,1.22555639084531e-19,"Upregulated in Hotspots"
"SH3TC2",5.72425983035944e-24,-2.70834491622644,0.088,0.565,1.26408829833828e-19,"Upregulated in Coldspots"
"APBB1IP",5.80190522233054e-24,4.4594316186373,0.477,0.026,1.28123473024725e-19,"Upregulated in Hotspots"
"CD36",7.05617304157969e-24,2.90559611814088,0.767,0.363,1.55821469277204e-19,"Upregulated in Hotspots"
"AFF1",7.76166858365947e-24,-2.78078421304901,0.684,0.902,1.71400927332952e-19,"Upregulated in Coldspots"
"PKIB",7.94360679141079e-24,-2.24977830913153,0.321,0.803,1.75418668774724e-19,"Upregulated in Coldspots"
"GRAMD2B",8.07896501861274e-24,-2.25146401402095,0.295,0.741,1.78407784506025e-19,"Upregulated in Coldspots"
"AGAP1",9.08770581416715e-24,-1.85667124012078,0.508,0.907,2.00683807494253e-19,"Upregulated in Coldspots"
"FDX1",1.13728269337051e-23,-2.88212269045958,0.218,0.674,2.51146137177009e-19,"Upregulated in Coldspots"
"FGL1",1.19049919216851e-23,4.41990325445066,0.497,0.047,2.62897936606572e-19,"Upregulated in Hotspots"
"EPAS1",1.32512882029258e-23,-1.32540028679417,0.653,0.974,2.92628197385211e-19,"Upregulated in Coldspots"
"ENPP2",1.7464035510725e-23,2.42433524386093,0.658,0.155,3.85658296183339e-19,"Upregulated in Hotspots"
"RASA1",2.25784175075797e-23,-1.93073733756289,0.865,0.984,4.98599193819882e-19,"Upregulated in Coldspots"
"LINC01090",2.35430027375939e-23,-2.38042374419751,0.197,0.689,5.19900129454287e-19,"Upregulated in Coldspots"
"PSG9",2.49737731460281e-23,-2.88143996795156,0.155,0.627,5.51495832383739e-19,"Upregulated in Coldspots"
"TFPI2",3.1543235332664e-23,-2.53777767035704,0.601,0.891,6.96569265851219e-19,"Upregulated in Coldspots"
"NIBAN2",3.22821537570708e-23,-2.67024768866613,0.161,0.632,7.12886801417395e-19,"Upregulated in Coldspots"
"NFATC2",3.90259583834985e-23,3.20839914925695,0.539,0.078,8.61810238982798e-19,"Upregulated in Hotspots"
"TENT5A",4.6195574719532e-23,-2.32192809488736,0.285,0.756,1.02013687653143e-18,"Upregulated in Coldspots"
"SORBS1",4.79133292276263e-23,-2.32832586608551,0.202,0.699,1.05807004933367e-18,"Upregulated in Coldspots"
"PRKCB",5.47406753257991e-23,4.54432051622381,0.446,0.016,1.20883833321962e-18,"Upregulated in Hotspots"
"FAM20A",5.73117106548197e-23,4.02353551446079,0.492,0.047,1.26561450639038e-18,"Upregulated in Hotspots"
"LNCAROD",6.98130034202925e-23,5.26553691303696,0.482,0.052,1.54168055453032e-18,"Upregulated in Hotspots"
"ST6GAL1",7.61752628049464e-23,3.91146332539834,0.482,0.036,1.68217832852163e-18,"Upregulated in Hotspots"
"AC131944.1",7.9807566162181e-23,4.92184093707449,0.456,0.026,1.76239048355944e-18,"Upregulated in Hotspots"
"CPQ",8.23952304609472e-23,2.84645474174654,0.591,0.109,1.8195338742691e-18,"Upregulated in Hotspots"
