gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TOX,5.989733772894572e-9,1.3736108466877421,0.368,0.139,1.3227129090683085e-4
DNM2,6.466372903201253e-9,0.9812634374184143,0.609,0.309,1.4279691282139328e-4
VAC14,6.495176136949732e-9,1.5689065888596145,0.379,0.149,1.4343297463226094e-4
MORC4,6.557979670436315e-9,-1.3005189987839763,0.241,0.597,1.4481986506224514e-4
BLVRA,6.681034565892138e-9,1.742294561088088,0.276,0.089,1.4753728631859608e-4
GAS7,6.975503028984483e-9,1.0574211003364635,0.563,0.287,1.5404003338906434e-4
SNX8,6.987826396960089e-9,1.4473600707880072,0.402,0.169,1.5431217032406966e-4
ERVW-1,7.064824709345254e-9,-1.8740557579856434,0.126,0.437,1.5601252405647126e-4
RASSF1,7.073547535896984e-9,1.7440550189525257,0.276,0.088,1.562051502352131e-4
TPT1,7.222794322548393e-9,-1.9376067928594733,0.494,0.718,1.5950096702483616e-4
USP32,7.367103554069086e-9,1.0570146501180018,0.655,0.41,1.626877477845076e-4
SORBS1,7.4399414799289905e-9,-1.6032956728147438,0.218,0.561,1.642962277012719e-4
LINC00882,7.674936595537133e-9,-1.8339690963981727,0.184,0.538,0.00016948562483924651
SH3PXD2A,7.826960968897564e-9,1.1093041985331151,0.644,0.352,1.7284277907616492e-4
AP3B1,7.837623651645506e-9,0.7869308542820693,0.874,0.772,1.730782430992877e-4
CPEB3,7.916666870486562e-9,1.2736212748563398,0.425,0.182,1.7482375450095475e-4
STK10,8.11072315739628e-9,1.4307710184744147,0.483,0.227,1.7910909948478203e-4
CYB5R4,8.37605463357291e-9,1.412345903272578,0.448,0.203,1.8496841447319056e-4
FMO5,8.425645409398158e-9,2.229481846122767,0.161,0.035,1.8606352757573953e-4
AC011287.1,8.795983454979591e-9,-0.6096835673046037,0.345,0.721,1.942417026363143e-4
GAB2,8.811467870365875e-9,1.0080683859699027,0.851,0.725,1.945836449812896e-4
SNX2,8.843631631849577e-9,1.1106811208037142,0.678,0.482,1.952939173261342e-4
AC007262.2,8.91652876460599e-9,2.4416350829543774,0.241,0.074,1.969037047087941e-4
RRAGD,9.148850039908832e-9,1.9281011286394907,0.195,0.05,2.0203405543130673e-4
PARP12,9.19632895999153e-9,1.9571845189600054,0.299,0.105,2.0308253242349295e-4
ANKRD44,9.30741428704851e-9,1.1899534819361302,0.494,0.231,2.0553562970089225e-4
NAA20,9.334213922343018e-9,1.457122345421367,0.379,0.152,2.0612744604710088e-4
TANGO2,9.354333886248793e-9,1.7382087610168384,0.31,0.111,2.065717552100321e-4
APH1B,9.647779861765733e-9,1.582920913755347,0.322,0.117,2.1305192268737268e-4
VPS13C,9.717075240350164e-9,0.8218007211008116,0.77,0.639,2.145821725326527e-4
TMCC1,9.82048523577932e-9,0.927126493979322,0.874,0.782,2.1686577546171473e-4
AC011933.4,9.880587832473324e-9,1.6690139073223595,0.276,0.09,2.1819302110450843e-4
ARID5A,9.934281751379551e-9,2.3214043355638063,0.161,0.036,2.1937874391571465e-4
RABGAP1L,9.948052575788368e-9,1.188295211591616,0.897,0.851,2.1968284503113455e-4
MICOS10,1.0232702150584315e-8,1.7213349424524418,0.379,0.156,2.2596876159135343e-4
TCF12,1.0605553469646722e-8,1.1539160623112727,0.931,0.939,2.3420243727020857e-4
CERT1,1.0739213062472522e-8,1.1790167791397794,0.736,0.53,2.371540420585807e-4
PLPP3,1.0768840062831439e-8,-0.6822350953509209,0.345,0.698,2.3780829510750665e-4
RNF216,1.100921565701039e-8,1.1437780967546995,0.621,0.362,2.4311650935376043e-4
LRRC37B,1.1295623213934686e-8,1.4246736061755099,0.322,0.114,2.494412474333197e-4
TMEM65,1.1570810039126464e-8,1.4536970030660328,0.31,0.108,2.555181980940297e-4
FBN1,1.1718956948121416e-8,-1.3400694516105982,0.207,0.568,2.5878972628536523e-4
OSBPL3,1.2168279320198541e-8,1.4702470881155285,0.483,0.23,2.687121122279444e-4
LRRC8C,1.2334867580381086e-8,1.7025514667730262,0.23,0.065,2.723908807775555e-4
GSAP,1.25747108480663e-8,1.86214108887522,0.276,0.092,2.776873396578481e-4
CTSB,1.2816980331762037e-8,1.1382820317399172,0.506,0.24,2.8303737666630105e-4
SLC8A1,1.3009761951618982e-8,1.4817285106014768,0.506,0.256,2.87294573177602e-4
APIP,1.3078672742569829e-8,1.390418064337825,0.437,0.192,2.8881633017416953e-4
UBA6-AS1,1.3217696194497196e-8,1.1762569071558908,0.414,0.172,2.9188638506308156e-4
CLCN4,1.340667094268596e-8,2.514884064985016,0.126,0.023,2.9605951442733406e-4
SLC2A3,1.3734855559258846e-8,1.7816544117262538,0.368,0.144,3.033068153151131e-4
SLC39A11,1.4048297558473702e-8,1.3977380272044613,0.506,0.272,3.1022855498377477e-4
RBPJ,1.423948212164661e-8,2.285527543961817,0.747,0.734,3.1445048369232206e-4
MEF2A,1.4401629605287568e-8,0.9928808481417533,0.77,0.581,3.180311865735654e-4
AC087672.2,1.5377728416839706e-8,2.7671386320655667,0.138,0.028,3.3958637662907126e-4
XRCC4,1.552500482442319e-8,1.3941638555770235,0.483,0.233,3.428386815377373e-4
ADAMTS6,1.6552517993901774e-8,-1.080026989510527,0.23,0.606,3.655292548593329e-4
TNFRSF10D,1.660224470314609e-8,2.31194400631474,0.138,0.028,3.6662736977957514e-4
CDK6,1.6916554417868764e-8,-1.0469245834004162,0.287,0.648,3.735682712097959e-4
TBC1D22A,1.7710743453545578e-8,0.9727210114645879,0.805,0.682,3.91106347684647e-4
RPL3,1.800033458225941e-8,-1.5174372220728627,0.287,0.608,3.9750138858003455e-4
