"cell","orig.ident","nCount_RNA_raw","nFeature_RNA_raw","sample_id","gestational_week","tile","sample","sample_stage","x_pixel","y_pixel","x_um","y_um","x","y","n_genes","n_counts","leiden","predicted.celltype","predicted.celltype.score","week","spatial_x_use","spatial_y_use","celltype_author","predicted.id","prediction.score.max","celltype_final_conservative","celltype_final_source","celltype_final_refined","celltype_refined_source","lineage_EVT","lineage_vCTB","lineage_STB","lineage_Endothelial","lineage_Fibroblast","lineage_Macrophage","lineage_NK","celltype_lineage_rescue","lineage_score_max","lineage_label_max","niche_cluster","dataset","permissiveness_global","permissiveness_global_pct","label"
"W8-2_W8-2_tile_0_cell_629","W8-2",506,168,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",354,15666,50.26092,2224.25868,50.26092,2224.25868,168,506,7,"EVT3",0.761235024530775,8,50.26092,2224.25868,"EVT3","EVT3",0.761235024530775,"EVT3","author","EVT3","author",3.18972259359503,9.69562704690729,0.269462876895392,-0.0194571733406262,-4.67828594647516,-0.859850772702971,-0.095095771856045,NA,9.69562704690729,"vCTB","N2","starmap",4.36641609601746,0.976103611820503,"EVT3"
"W8-2_W8-2_tile_0_cell_631","W8-2",443,116,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",207,15884,29.38986,2255.21032,29.38986,2255.21032,116,443,7,"EVT2",0.488594899943128,8,29.38986,2255.21032,"EVT2","EVT2",0.488594899943128,"EVT2","author","EVT2","author",2.55552875621863,4.94470821682081,1.24938912350738,-0.0830688341556429,-4.79256852564071,-0.844571404070324,-0.0875499349935913,NA,4.94470821682081,"vCTB","N1","starmap",3.64078099456488,0.948832542867567,"EVT2"
"W8-2_W8-2_tile_0_cell_635","W8-2",271,109,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",890,16447,126.3622,2335.14506,126.3622,2335.14506,109,271,1,"EVT3",0.541340575317508,8,126.3622,2335.14506,"EVT3","EVT3",0.541340575317508,"EVT3","author","EVT3","author",2.4846825738364,5.48526127634436,0.391967155348202,0.0304615928109205,-5.02493166740731,-0.853063185215517,-0.088372517044728,NA,5.48526127634436,"vCTB","N7","starmap",4.29405425450911,0.973458591754834,"EVT3"
"W8-2_W8-2_tile_0_cell_637","W8-2",362,152,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1202.5,16039,170.73095,2277.21722,170.73095,2277.21722,152,362,6,"EVT2",0.757283510080222,8,170.73095,2277.21722,"EVT2","EVT2",0.757283510080222,"EVT2","author","EVT2","author",4.76918438319202,5.62209893632456,-0.991900225770696,-0.205750326312157,-4.67429947311177,-0.904121718864258,-0.103922352692081,NA,5.62209893632456,"vCTB","N7","starmap",2.98463802350997,0.939620576431959,"EVT2"
"W8-2_W8-2_tile_0_cell_676","W8-2",250,119,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",976.5,16540.5,138.64347,2348.42019,138.64347,2348.42019,119,250,1,"EVT3",0.902576021097311,8,138.64347,2348.42019,"EVT3","EVT3",0.902576021097311,"EVT3","author","EVT3","author",2.53109412253779,5.25141715910855,0.470457269026712,-0.0554418532272498,-4.93280003229586,-0.830140963044416,-0.0788353458024302,NA,5.25141715910855,"vCTB","N7","starmap",3.82481451758532,0.95375775264502,"EVT3"
"W8-2_W8-2_tile_0_cell_752","W8-2",245,107,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1223,15905,173.64154,2258.1919,173.64154,2258.1919,107,245,6,"EVT2",0.730521707947557,8,173.64154,2258.1919,"EVT2","EVT2",0.730521707947557,"EVT2","author","EVT2","author",3.16132133544416,2.4332085038397,-0.738953219287169,-0.0933773077484588,-4.58702099826211,-0.832127361385541,-0.100509210199333,NA,3.16132133544416,"EVT","N7","starmap",2.17228229684155,0.916089018606348,"EVT2"
"W8-2_W8-2_tile_0_cell_766","W8-2",366,152,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1665,14901,236.3967,2115.64398,236.3967,2115.64398,152,366,1,"EVT3",0.853775898773473,8,236.3967,2115.64398,"EVT3","EVT3",0.853775898773473,"EVT3","author","EVT3","author",3.29439449700845,6.39690400364283,0.131005226258886,0.0569135307729433,-5.0086827576489,-0.82453900726468,-0.0827752182870138,NA,6.39690400364283,"vCTB","N7","starmap",4.45913486025735,0.978383801532287,"EVT3"
"W8-2_W8-2_tile_0_cell_769","W8-2",155,87,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1284,14860,182.30232,2109.8228,182.30232,2109.8228,87,155,1,"EVT3",0.689750397047754,8,182.30232,2109.8228,"EVT3","EVT3",0.689750397047754,"EVT3","author","EVT3","author",2.85729513428173,6.12148185649373,0.250502168099335,0.0757188102144139,-5.09986216113118,-0.844431912632394,-0.0897381976480947,NA,6.12148185649373,"vCTB","N7","starmap",3.89334789546666,0.957497263772346,"EVT3"
"W8-2_W8-2_tile_0_cell_810","W8-2",153,96,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1436,16567,203.88328,2352.18266,203.88328,2352.18266,96,153,1,"EVT3",0.460659355175,8,203.88328,2352.18266,"EVT3","EVT3",0.460659355175,"EVT3","author","EVT3","author",2.80022577970079,5.54156097239916,0.3279623059283,0.024639630434027,-5.05751299652164,-0.834172200934877,-0.0906907748908485,NA,5.54156097239916,"vCTB","N7","starmap",4.21064752483355,0.96981028821598,"EVT3"
"W8-2_W8-2_tile_0_cell_811","W8-2",239,130,"W8-2",8,"tile_W8-2_0","W8-2","8w_2d",1554,16568,220.63692,2352.32464,220.63692,2352.32464,130,239,6,"EVT3",0.799830429791755,8,220.63692,2352.32464,"EVT3","EVT3",0.799830429791755,"EVT3","author","EVT3","author",3.06148764333473,6.10175335771886,0.146453050096407,0.0146061583476707,-5.10029042514798,-0.829768492921876,-0.0892291967095812,NA,6.10175335771886,"vCTB","N7","starmap",4.12977561524118,0.967712513681138,"EVT3"
