gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TCF7,4.867637184567217e-6,-0.9568384170188029,0.877,0.832,0.17789266854719352
AP001005.3,4.8918865206200145e-6,-0.9045272624699612,0.241,0.306,0.17877888478257906
SPRR3,4.901719806177191e-6,-0.7821675790829783,0.377,0.232,0.17913825203655162
IGLV10-54,4.913790375545429e-6,-1.569251884276511,0.346,0.199,0.17957938306468324
AC009464.1,4.9396638578404566e-6,-0.29215957479078813,0.092,0.173,0.18052495534863733
LINC02207,4.961595844712157e-6,-0.5555813081789411,0.149,0.221,0.1813264817408505
SPRYD4,4.979582760215332e-6,-0.3806068905205784,0.827,0.589,0.1819838315548295
AC021491.1,5.01159430808586e-6,1.284808622972342,0.16,0.092,0.18315372558330584
CHD7,5.01420307434662e-6,-1.854953989652616,1,1,0.1832490655550716
C3orf62,5.024013521272136e-6,-0.7938180460911797,0.958,0.802,0.1836075981484115
Z95114.4,5.0272335689271865e-6,-1.0341430747679263,0.912,0.759,0.18372527801001295
USP34,5.062632450021787e-6,-5.001014478673611,1,1,0.18501896551849623
CLCN7,5.120819373980313e-6,-0.5485891882348828,1,0.982,0.1871454648414845
AC104051.2,5.124704401372572e-6,-1.0722660683889096,0.535,0.555,0.18728744705256203
AC114316.1,5.141522329819166e-6,0.25605655263858473,0.289,0.191,0.18790207506557124
GBX1,5.1881603674590805e-6,0.44868952765090064,0.219,0.133,0.18960650878915955
NSD1,5.189230571077138e-6,-0.8742516690115514,1,1,0.18964562045058508
NCAPH2,5.198557831065689e-6,-0.7574309985037109,1,0.98,0.18998649449412666
PABPC4L,5.20851973220435e-6,-2.870758273612357,0.761,0.431,0.1903505621331402
C5orf64,5.225184050829467e-6,-0.5225828038618445,0.083,0.165,0.1909595763216137
SPATA6L,5.299486223135186e-6,-1.3221044509979576,0.636,0.561,0.1936750235106985
PCOTH,5.311338713079864e-6,1.4650603020133595,0.116,0.061,0.1941081846082167
DCUN1D4,5.343775957409017e-6,-0.3030289964286381,1,0.967,0.19529363613946996
CHAT,5.359187149567154e-6,-1.0022170429362425,0.246,0.298,0.19585685356808122
ZNF133,5.377367625481239e-6,-0.25353190776922085,0.998,0.834,0.19652127724083737
AC103957.1,5.423949829185478e-6,-0.6055612811979136,0.039,0.107,0.1982236704574125
AC010997.3,5.431194233538828e-6,0.7969616955372398,0.322,0.204,0.19848842445891
FCMR,5.445128625203056e-6,0.32171019953554225,0.886,0.637,0.1989976707366709
Z95331.1,5.457599952585587e-6,-0.4795847201916774,0.919,0.565,0.19945344786719285
AL160313.1,5.458185332826775e-6,-0.6875319174099825,0.239,0.139,0.19947484117348732
AL162493.1,5.464425400786321e-6,0.654441736900405,0.351,0.238,0.1997028906971369
ITGB5-AS1,5.509355555737227e-6,0.6910166162050526,0.101,0.198,0.2013449081399727
FAM189A2,5.522631835845189e-6,-1.7706145869326235,0.895,0.494,0.20183010307279828
ASB2,5.5759054306670984e-6,-0.3019392320532992,0.057,0.133,0.2037770398691598
FCGR2A,5.6204084059779236e-06,-1.291021386355967,0.333,0.374,0.2054034456048692
EIF2B1,5.664360086544684e-6,-0.5849842860614844,1,1,0.20700970372286204
LINC00507,5.674555758399416e-6,-0.2707358882252189,0.121,0.204,0.20738231474646507
LTB4R2,5.8784008194700965e-6,-1.1037126689752865,0.059,0.131,0.21483203634835416
UBR3,5.906277322760237e-6,-1.5632101419189084,1,1,0.21585081103759562
AC010207.1,5.927518908999334e-6,-0.7730075956102747,0.09,0.163,0.21662710604828964
AL160006.1,5.966112083830713e-6,-0.8205161692338132,0.287,0.369,0.21803753221567726
AC080013.6,6.032448470136171e-6,0.910542082289945,0.151,0.083,0.22046186178959648
BCL3,6.0566231661517164e-6,-1.1349747259252743,0.982,0.763,0.22134535023018062
