gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DYNLL1,6.017950320770338e-66,-6.83750173540288,1,1,2.199320124228728e-61
SAP30,6.396359392735103e-66,-1.2217966804937914,0.978,0.941,2.337613503668971e-61
AC108863.2,6.678249559907779e-66,0.9003731151590353,0.661,0.276,2.440633084163897e-61
TRMT5,6.809915938249031e-66,-1.3303251587177365,0.929,0.951,2.488751878792491e-61
HK2,6.845219851159148e-66,-3.6275803238423956,0.998,0.915,2.5016540468046222e-61
HSD17B10,6.870754021163081e-66,-1.0558873141891973,1,0.993,2.5109857645742594e-61
SH3BP5-AS1,6.89110818574496e-66,0.7292484056419641,1,0.818,2.5184243975623532e-61
TRAPPC13,7.044625176414851e-66,-1.0542487554277722,0.998,0.995,2.5745287169725714e-61
RAE1,7.40868414545955e-66,-2.0563532525380985,1,1,2.707577707799647e-61
MOCS3,7.746605306229103e-66,1.4311245143936082,0.759,0.428,2.831074375214488e-61
DLD,7.869543634404775e-66,-0.9895838790325341,1,1,2.876003416629569e-61
HNRNPR,7.99187343224478e-66,-1.3143790057205134,1,1,2.9207100645481772e-61
LARP1,8.123465370537557e-66,-1.1857573355417614,1,1,2.968801654316656e-61
LSM7,8.616893692400841e-66,-3.1215911004817523,1,1,3.149129968824811e-61
RAMP2,8.90223040400847e-66,-5.1022648537365916,0.247,0.633,3.253409123448935e-61
CD68,9.925601041036144e-66,-4.195315974671107,0.935,0.595,3.6274101564570694e-61
C17orf107,1.0472526519493273e-65,0.7799955696570002,0.886,0.383,3.8272895418140116e-61
NCK1-DT,1.0814082814733582e-65,-2.329247068883576,0.857,0.872,3.952114705472535e-61
C1orf162,1.0828983923510916e-65,-1.3836351510005827,0.717,0.273,3.957560464686299e-61
EBNA1BP2,1.0977148295075374e-65,-1.4263163827065508,0.982,0.997,4.0117086159182465e-61
AC090772.2,1.116979311679371e-65,0.39128124417885957,0.65,0.232,4.082112592463429e-61
AFTPH,1.202393334140208e-65,0.5662865689255845,1,1,4.3942666789488044e-61
AL391834.3,1.2431858498972337e-65,1.0214147939297025,0.459,0.138,4.5433470070344306e-61
ANPEP,1.3350716539662771e-65,-1.2586788969522753,0.637,0.913,4.879152866585156e-61
CSF2RB,1.4367300136912235e-65,2.5337826956890575,0.927,0.895,5.250673508035945e-61
SURF4,1.454309364340302e-65,0.9493845505892018,1,1,5.3149190029180674e-61
ARHGAP11A,1.4764088477868778e-65,-2.497404559143759,0.886,0.929,5.395683775121924e-61
BMP5,1.5689312095176956e-65,-5.4807329977725665,0.637,0.879,5.7338159983033705e-61
PTGES,1.6078958440576363e-65,1.6145110311590207,1,0.971,5.8762161516930375e-61
CELF6,1.649311188985592e-65,0.82582920843927,0.822,0.376,6.027572671266745e-61
JARID2,1.700873324493677e-65,-5.70831147686097,1,1,6.2160116516945914e-61
RECQL4,1.7038268831316836e-65,-3.2504093319416785,0.528,0.757,6.22680572709305e-61
MORN3,1.7472550686923682e-65,1.3333952083856584,0.653,0.271,6.385518374043129e-61
GSG1,1.844008343119302e-65,0.848816849103204,0.548,0.188,6.739112890763801e-61
PIGV,1.8669930389185628e-65,-1.3685737213715585,0.802,0.893,6.823112760031779e-61
NCMAP,1.8761826782572377e-65,1.4213198968025442,0.739,0.37,6.856697215958901e-61
SATB1,1.8896289373966344e-65,-1.9485351424962865,0.216,0.629,6.90583791460974e-61
SLC16A1-AS1,1.973622437295871e-65,-1.0375987801055442,0.766,0.973,7.21280055934149e-61
NRXN3,2.0008024697813334e-65,-15.987123853161194,1,0.973,7.312132706062861e-61
NFIL3,2.0221816426750234e-65,0.48497604788592896,1,1,7.39026503132014e-61
APOC1,2.0632888672396593e-65,-96.42757148608331,1,1,7.540495494214059e-61
RBBP8NL,2.215063906412249e-65,-1.8167795745791944,0.653,0.225,8.095172552374206e-61
SELENOM,2.3289580792021544e-65,2.018831645217251,0.991,0.981,8.511410196252194e-61
AC118755.1,2.4369340966314916e-65,0.7381383553571279,0.405,0.112,8.906019349549449e-61
AC025164.1,2.4616834187723058e-65,-1.7747891033774708,0.935,0.951,8.996468222245268e-61
CBLL1,2.464935970067204e-65,0.9534889588528208,0.987,0.707,9.008354996207604e-61
ID2,2.5488347979089194e-65,-2.4218088349402316,1,1,9.314971652437937e-61
ZNF346,2.5492890378341894e-65,-1.0181469537923942,0.984,0.951,9.316631717668829e-61
GAS2L3,2.590282440917786e-65,-0.4242054450038113,0.996,0.986,9.46644620857814e-61
GPR132,2.605704276084455e-65,0.2928585948337079,0.855,0.542,9.522806847378248e-61
AL807761.4,2.8655125755367833e-65,1.169187827640247,0.739,0.317,1.0472302258556728e-60
TIMM10,2.9566133995821695e-65,-1.2391070893010716,0.996,0.998,1.0805239330112996e-60
AC002091.1,2.9888491494234253e-65,1.2367353785118125,0.439,0.126,1.092304810148285e-60
ARL8B,3.0316634792746575e-65,0.8910663413925293,1,1,1.1079517351357164e-60
AC012510.1,3.4014089684480884e-65,1.671000707858262,0.432,0.128,1.2430789216090384e-60
COMMD8,3.988220315654993e-65,-1.4746700130481873,1,0.998,1.4575349965592738e-60
PREP,3.998532693237375e-65,0.8281245001177182,1,0.975,1.461303758070531e-60
AC114271.1,4.153416520987398e-65,0.9325927349264962,0.497,0.16,1.5179076017600547e-60
PYCARD,4.4082953383097075e-65,-1.863821681946222,0.439,0.829,1.6110556143386657e-60
FRYL,4.470400133800582e-65,0.28254579636599164,1,1,1.6337524328987607e-60
UPP1,4.508283449858031e-65,1.9084526018797905,1,0.99,1.647597269585116e-60
GRN,4.547676600138881e-65,-11.98949451689893,1,0.999,1.6619938902867556e-60
NR2F2,4.591451912984177e-65,-1.4681451565774402,0.898,0.952,1.6779920161191973e-60
RPS15A,4.6388193358205165e-65,-93.93572177275396,1,1,1.695302914468966e-60
MCEE,4.770826872634715e-65,0.9060367081010174,0.998,0.99,1.7435463888730829e-60
TNFSF10,4.877131261460537e-65,7.226561596253857,0.911,0.907,1.7823963908133676e-60
SLC39A6,4.890914368095494e-65,0.8979450913964983,1,0.93,1.787433564964179e-60
AC015971.1,4.9115055752153e-65,-1.573618093289916,0.815,0.885,1.7949588275181835e-60
STRA8,5.0460036750220114e-65,1.2982486651392033,0.537,0.197,1.8441125030735442e-60
CXCR4,5.180851656732395e-65,-1.4396101864997437,0.817,0.373,1.8933940464694212e-60
AC007780.1,5.226431282679582e-65,0.9806574282350597,0.915,0.574,1.9100515765680798e-60
TMEM200B,5.419673197112522e-65,0.751492020758068,0.731,0.316,1.9806737666167424e-60
TOMM22,5.652590377673987e-65,-1.2033024379715316,0.987,0.995,2.0657956794247354e-60
ATP5PO,5.6616836443922855e-65,-1.842210830465705,1,1,2.0691189046796046e-60
MEG3,5.752062092940544e-65,-30.17870661583426,0.479,0.91,2.1021486124860513e-60
AC073869.3,5.800784787433255e-65,1.2872792969858615,0.416,0.113,2.1199548084153573e-60
ALG10B,6.281572265145707e-65,-1.5006047192666292,0.857,0.94,2.29566340002015e-60
HMMR,6.456196279993159e-65,-2.606765960290093,0.958,0.944,2.3594814924862998e-60
SYNJ2,6.737076429331753e-65,-1.642254537230051,1,0.999,2.4621319518635823e-60
TIMM8B,7.781253662447268e-65,-0.9131986877907998,1,1,2.843736963477978e-60
GPR107,8.137690342125724e-65,0.5680851498374984,1,1,2.974000312433267e-60
MEGF8,8.207372333784076e-65,-1.5274628431904593,0.989,0.978,2.999466293104729e-60
ITGA10,8.295018260342335e-65,-3.072928539636223,0.227,0.595,3.03149737342471e-60
SF3B5,8.794612169579423e-65,-1.4905688385363276,1,1,3.214078963494496e-60
EIF3K,9.417118144709923e-65,-2.212216785912347,1,1,3.4415799971656887e-60
TMEM14B,9.527913633801794e-65,-1.3352948062946022,1,1,3.4820713166092036e-60
TRERF1,9.722226832341398e-65,-8.034945898683779,0.595,0.945,3.5530850181474873e-60
AC080128.2,1.0354956065909655e-64,1.8646643260754532,0.379,0.104,3.7843222438473427e-60
FYB2,1.0363807354101993e-64,-4.659050907757319,0.169,0.561,3.7875570356301144e-60
MCM8-AS1,1.080336304564769e-64,1.8834429582573833,0.325,0.073,3.948197058662405e-60
RAB33B,1.1177076022793828e-64,-1.2530755684915555,1,0.984,4.0847742032902324e-60
LMNB2,1.1687477445998935e-64,-1.6438840297074815,0.991,0.987,4.2713055074147707e-60
DUS2,1.1892170360491597e-64,-0.8675100683755876,1,0.993,4.346112579945259e-60
LINC00370,1.247621315414442e-64,3.2709210422048445,0.225,0.041,4.5595568593136193e-60
HIST1H4D,1.277697629017554e-64,-3.668654756864354,0.336,0.652,4.6694737550075527e-60
LLGL2,1.366403601226558e-64,1.652669833360192,1,0.964,4.993658601042579e-60
THSD1,1.3818323239454328e-64,-4.100589541411381,0.661,0.79,5.050044411090979e-60
ACSL1,1.3962067121161278e-64,-6.499872055206901,0.993,0.633,5.1025770500996e-60
KLHL2,1.408096822665207e-64,0.9009296502193348,0.993,0.761,5.146030648112266e-60
