"week","from","to","n_k_tested","n_k_sig","median_z","robust_fraction"
9,"Fibroblast1","Endothelial_cells",4,0,1.10957450478612,0
9,"Fibroblast1","EVT2",4,1,-0.376640909207635,0.25
9,"Fibroblast1","EVT3",4,0,0.586749352478045,0
9,"Fibroblast1","Fibroblast1",4,0,0.324675758155206,0
9,"Fibroblast1","Fibroblast2",4,1,0.588870921503192,0.25
9,"Fibroblast1","Hofbauer cells",4,0,0.65109114751231,0
9,"Fibroblast1","maternal macrophages",4,0,-0.110469243786813,0
9,"Fibroblast1","STB",4,0,1.75786899655273,0
9,"Fibroblast1","unknown2",4,0,-0.552150396929208,0
9,"Fibroblast1","unknown3",4,0,0.0573510584292403,0
9,"Fibroblast1","vCTB2",4,0,-1.25279542429269,0
9,"Fibroblast1","vCTBp",4,0,-0.832663800331379,0
9,"Fibroblast2","Endothelial_cells",4,0,0.222406215762816,0
9,"Fibroblast2","EVT2",4,1,-0.33290184403704,0.25
9,"Fibroblast2","EVT3",4,0,0.260164162173375,0
9,"Fibroblast2","Fibroblast1",4,0,1.64348719270488,0
9,"Fibroblast2","Fibroblast2",4,2,-0.296178310801375,0.5
9,"Fibroblast2","Hofbauer cells",4,1,0.486275958698668,0.25
9,"Fibroblast2","maternal macrophages",4,0,0.422664154568492,0
9,"Fibroblast2","STB",4,2,0.627918945047874,0.5
9,"Fibroblast2","unknown2",4,0,-1.73182684129957,0
9,"Fibroblast2","unknown3",4,0,-1.3863390773618,0
9,"Fibroblast2","vCTB2",4,1,-0.786898368106532,0.25
9,"Fibroblast2","vCTBp",4,0,-0.765370257350687,0
9,"Hofbauer cells","Endothelial_cells",4,0,-0.406519358360693,0
9,"Hofbauer cells","EVT2",4,2,-2.06627770681433,0.5
9,"Hofbauer cells","EVT3",4,0,0.566994832586322,0
9,"Hofbauer cells","Fibroblast1",4,0,0.400612749029039,0
9,"Hofbauer cells","Fibroblast2",4,0,-0.156184075829468,0
9,"Hofbauer cells","Hofbauer cells",4,0,0.287570577006156,0
9,"Hofbauer cells","maternal macrophages",4,0,-0.678490033515153,0
9,"Hofbauer cells","STB",4,1,1.45256371092975,0.25
9,"Hofbauer cells","unknown2",4,0,-0.917480884056055,0
9,"Hofbauer cells","unknown3",4,0,-0.550081294775047,0
9,"Hofbauer cells","vCTB2",4,0,-0.0152528480846344,0
9,"Hofbauer cells","vCTBp",4,0,0.0590409249459568,0
9,"maternal macrophages","Endothelial_cells",4,0,-0.643018387459317,0
9,"maternal macrophages","EVT2",4,1,1.93271546414447,0.25
9,"maternal macrophages","EVT3",4,0,0.449421708582701,0
9,"maternal macrophages","Fibroblast1",4,0,-0.458320964675163,0
9,"maternal macrophages","Fibroblast2",4,2,1.65775691261073,0.5
9,"maternal macrophages","Hofbauer cells",4,0,0.282141162144468,0
9,"maternal macrophages","maternal macrophages",4,0,-0.650462134177494,0
9,"maternal macrophages","STB",4,0,-1.05597664450412,0
9,"maternal macrophages","unknown2",4,0,0.676580122567211,0
9,"maternal macrophages","unknown3",4,0,-1.38602133233149,0
9,"maternal macrophages","vCTB2",4,0,-1.73551421893841,0
9,"maternal macrophages","vCTBp",4,0,-0.601580664850694,0
9,"STB","Endothelial_cells",4,0,1.01759121960449,0
9,"STB","EVT2",4,2,-2.69205385665948,0.5
9,"STB","EVT3",4,0,-0.172414177025274,0
9,"STB","Fibroblast1",4,1,1.62100240120236,0.25
9,"STB","Fibroblast2",4,2,1.90590499043275,0.5
9,"STB","Hofbauer cells",4,1,1.25410516858397,0.25
9,"STB","maternal macrophages",4,0,0.185720839496709,0
9,"STB","STB",4,1,1.12585993650717,0.25
9,"STB","unknown2",4,1,0.0662300149911664,0.25
9,"STB","unknown3",4,0,0.22224918986065,0
9,"STB","vCTB2",4,0,-1.2359201616803,0
9,"STB","vCTBp",4,0,-1.08723721034808,0
9,"unknown2","Endothelial_cells",4,1,1.60037589718522,0.25
9,"unknown2","EVT2",4,1,0.531251216400152,0.25
9,"unknown2","EVT3",4,0,-0.531030921733345,0
9,"unknown2","Fibroblast1",4,0,0.436812409054634,0
9,"unknown2","Fibroblast2",4,1,-0.794606513272226,0.25
9,"unknown2","Hofbauer cells",4,0,-0.972762854433058,0
9,"unknown2","maternal macrophages",4,0,-0.168303753029517,0
9,"unknown2","STB",4,0,-0.137636799900584,0
9,"unknown2","unknown2",4,0,-0.443960500569493,0
9,"unknown2","unknown3",4,0,-0.403244823379348,0
9,"unknown2","vCTB2",4,0,-0.545656487807463,0
9,"unknown2","vCTBp",4,0,0.569639934887268,0
9,"unknown3","Endothelial_cells",4,0,-0.0163359175397363,0
9,"unknown3","EVT2",4,2,-2.59141684200294,0.5
9,"unknown3","EVT3",4,0,-0.315744455791061,0
9,"unknown3","Fibroblast1",4,0,1.47173446252102,0
9,"unknown3","Fibroblast2",4,1,1.41556848649727,0.25
9,"unknown3","Hofbauer cells",4,1,2.78460753894117,0.25
9,"unknown3","maternal macrophages",4,0,0.368407818321769,0
9,"unknown3","STB",4,2,-0.435357686489873,0.5
9,"unknown3","unknown2",4,0,-1.04574462643391,0
9,"unknown3","unknown3",4,0,0.0989467332850912,0
9,"unknown3","vCTB2",4,0,-0.560899215658807,0
9,"unknown3","vCTBp",4,0,-0.709516572513621,0
9,"vCTB2","Endothelial_cells",4,0,0.671919093315239,0
9,"vCTB2","EVT2",4,1,-0.872537036382162,0.25
9,"vCTB2","EVT3",4,0,-0.246941479673297,0
9,"vCTB2","Fibroblast1",4,0,1.32304532567591,0
9,"vCTB2","Fibroblast2",4,0,1.42508697376702,0
9,"vCTB2","Hofbauer cells",4,0,0.74746022811254,0
9,"vCTB2","maternal macrophages",4,0,0.503833712907461,0
9,"vCTB2","STB",4,1,2.28781059617111,0.25
9,"vCTB2","unknown2",4,0,-0.989132883784088,0
9,"vCTB2","unknown3",4,0,-0.657472578217192,0
9,"vCTB2","vCTB2",4,2,-2.89459287392316,0.5
9,"vCTB2","vCTBp",4,0,-0.273286796280809,0
9,"vCTBp","Endothelial_cells",4,0,-0.677918664743951,0
9,"vCTBp","EVT2",4,1,1.88361241751899,0.25
9,"vCTBp","EVT3",4,0,1.34954806926368,0
9,"vCTBp","Fibroblast1",4,0,-0.30977421805798,0
9,"vCTBp","Fibroblast2",4,0,-1.56429378937893,0
9,"vCTBp","Hofbauer cells",4,0,0.345197845823264,0
9,"vCTBp","maternal macrophages",4,0,0.03115637113114,0
9,"vCTBp","STB",4,0,0.167434755477899,0
9,"vCTBp","unknown2",4,0,-0.420439500616919,0
9,"vCTBp","unknown3",4,0,-1.29888332434625,0
9,"vCTBp","vCTB2",4,0,0.251747987099262,0
9,"vCTBp","vCTBp",4,0,-0.774027550349935,0
