"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.69288293114524e-20,0.966475957793763,0.325,0.166,6.18680996016339e-16,"N3","AC092794.1"
1.75996364611578e-20,0.622209345684229,0.169,0.068,6.43196314109474e-16,"N3","AC124784.1"
1.88228274598266e-20,0.606327115024477,0.988,0.902,6.87899052346824e-16,"N3","RABGGTA"
2.05837222813716e-20,0.343399436356195,1,1,7.52252714495005e-16,"N3","MTPN"
2.076669725379e-20,0.332136429681585,0.334,0.172,7.58939717837011e-16,"N3","AC016866.2"
2.09454570035031e-20,0.474529473827811,0.273,0.139,7.65472671650023e-16,"N3","AC006441.1"
2.17154530007272e-20,0.594826509172669,1,0.997,7.93612945364575e-16,"N3","ITPA"
2.78725694316204e-20,1.63760315002661,0.111,0.036,1.018630922448e-15,"N3","IFNL3"
2.80011367418049e-20,0.310972794760393,0.995,0.988,1.023329543366e-15,"N3","NFATC2IP"
2.81919638896359e-20,0.987500345105071,0.296,0.16,1.03030351231063e-15,"N3","AL121772.3"
2.90182851304632e-20,0.457016213967017,0.995,0.942,1.06050224837791e-15,"N3","C5orf51"
3.1422810389622e-20,0.255023338737542,0.82,0.667,1.14837802849913e-15,"N3","PEX6"
3.32703701532372e-20,0.288407928146596,1,1,1.21589894762021e-15,"N3","USP10"
3.69394318043738e-20,0.649776104049887,0.814,0.661,1.34998847472265e-15,"N3","NME6"
3.71336361274622e-20,1.91587096146598,0.441,0.266,1.35708586591423e-15,"N3","AC002553.2"
3.75408431834277e-20,0.258652078003915,0.812,0.619,1.37196765498155e-15,"N3","ZNF829"
3.86054256951417e-20,0.434513942369566,0.205,0.086,1.41087388745465e-15,"N3","AC026316.5"
3.88281715066138e-20,0.759378237476293,0.16,0.063,1.41901435588071e-15,"N3","AP003469.2"
3.90270086497807e-20,0.996935688349635,0.222,0.108,1.42628105811488e-15,"N3","LINC00616"
4.12065037231004e-20,0.361152150727362,0.625,0.369,1.50593288506443e-15,"N3","DDIAS"
4.54489308274585e-20,0.384965751743731,0.775,0.589,1.6609766260203e-15,"N3","ZNF668"
4.61172578127975e-20,2.09344765097272,0.12,0.042,1.6854013040265e-15,"N3","AL034428.1"
4.73747329768731e-20,1.47837494185349,0.133,0.049,1.7313569913728e-15,"N3","IAPP"
4.96315007994808e-20,1.52307424918455,0.127,0.046,1.81383282821783e-15,"N3","PRR34"
5.31407391447009e-20,0.595617608413291,0.235,0.105,1.94208145278224e-15,"N3","AC006348.1"
5.68671395007952e-20,0.968107961615813,0.152,0.057,2.07826648019606e-15,"N3","SMAD1-AS2"
5.89158977836689e-20,0.27868521827985,0.819,0.672,2.15314040040196e-15,"N3","AC091045.1"
5.93721966515212e-20,0.324278643032863,1,0.998,2.16981629882649e-15,"N3","GPAA1"
6.08484177876986e-20,1.25613202303044,0.567,0.588,2.22376627646923e-15,"N3","GPR143"
6.70881350275064e-20,0.323741184943378,0.968,0.906,2.45180298271525e-15,"N3","VRK3"
7.37964449338909e-20,0.556688352391101,0.119,0.039,2.69696487655398e-15,"N3","AC127526.4"
7.94483149579252e-20,0.392435588999135,0.807,0.554,2.90351811845233e-15,"N3","C7orf26"
8.26725312725306e-20,0.585968574675496,0.172,0.071,3.02135032788591e-15,"N3","AL137847.2"
8.46018657323172e-20,1.20483079073022,0.213,0.097,3.09185978505326e-15,"N3","AC004047.1"
8.596763400664e-20,0.300029967892345,0.243,0.11,3.14177315240666e-15,"N3","NPIPB6"
8.80689268897375e-20,1.52131214454344,0.271,0.406,3.21856700211235e-15,"N3","LINC01116"
9.10946807285244e-20,1.26937776298555,0.161,0.064,3.32914620190465e-15,"N3","AP001330.1"
9.60757073747446e-20,1.45658142342477,0.129,0.047,3.51118280171741e-15,"N3","AC093305.1"
1.02285238094877e-19,0.394304305104384,0.828,0.642,3.73811631141538e-15,"N3","ZNF695"
1.05166682838073e-19,1.87496805579775,0.11,0.035,3.8434215910002e-15,"N3","LINC01102"
1.0642407580038e-19,1.64713938931111,0.145,0.058,3.88937427420068e-15,"N3","AC008568.1"
1.19155460527589e-19,0.627765793337963,0.252,0.123,4.35465546044127e-15,"N3","AC090159.1"
1.20163702540304e-19,0.292892808265784,0.988,0.976,4.39150267303794e-15,"N3","MRPL2"
1.22753019998667e-19,0.295018948126134,0.461,0.278,4.48613186887129e-15,"N3","HIST1H2BI"
1.31843524885577e-19,0.773771754068692,0.215,0.094,4.81835346046831e-15,"N3","AL360169.3"
1.36006371047575e-19,0.281477094197971,0.828,0.782,4.97048883630466e-15,"N3","SFXN1"
1.38628634647361e-19,0.3513074000583,0.155,0.06,5.06632208182246e-15,"N3","LINC02231"
1.43703424833814e-19,0.947521618884802,0.838,0.717,5.25178536397655e-15,"N3","Z82215.1"
1.54266978814876e-19,0.868498139916163,0.993,0.883,5.63784100776848e-15,"N3","MYO7A"
1.58404937316044e-19,1.00003416434574,0.173,0.073,5.78906683915214e-15,"N3","AC093732.1"
1.68841409151578e-19,0.515663944416172,0.172,0.069,6.17047813885357e-15,"N3","AL365258.1"
2.31437095225856e-19,0.830970487986552,0.232,0.108,8.45810008212415e-15,"N3","CACNG3"
2.66691997531583e-19,0.313865695177584,0.263,0.133,9.74652574178925e-15,"N3","AC024337.1"
3.12861057533536e-19,1.07770038638906,0.127,0.045,1.14338202086206e-14,"N3","LANCL3"
3.24720894594502e-19,1.18018619136544,0.202,0.092,1.18672498138507e-14,"N3","LINC00653"
3.48035688352986e-19,0.257417697678827,1,1,1.27193122665482e-14,"N3","ECHDC1"
3.76824004425901e-19,0.874897595278274,0.129,0.047,1.3771410065749e-14,"N3","AC108134.4"
4.10186723989263e-19,0.423177430945826,0.93,0.741,1.49906840149116e-14,"N3","AC008443.1"
4.22725888681309e-19,0.691109711406139,0.353,0.201,1.54489403277471e-14,"N3","YPEL4"
4.41687775510322e-19,1.23824859097882,0.604,0.373,1.61419214438002e-14,"N3","AC015712.2"
5.02101698236639e-19,1.19269720937024,0.131,0.047,1.83498086637562e-14,"N3","AC139530.3"
5.35511359787019e-19,1.11408821907675,0.16,0.063,1.95707981547764e-14,"N3","AC011825.2"
6.48988361659355e-19,1.04611154858782,0.376,0.224,2.37179286652028e-14,"N3","UXT-AS1"
6.71920120620235e-19,0.529754681686895,0.995,0.899,2.45559927281871e-14,"N3","THBS3"
6.9893215835549e-19,0.876033924334701,0.185,0.082,2.55431746592597e-14,"N3","AC145207.2"
7.27405263273988e-19,1.59046125941619,0.125,0.044,2.65837527516112e-14,"N3","LINC01721"
8.66889716044494e-19,0.282248349457675,0.814,0.595,3.16813515625621e-14,"N3","GIN1"
8.67903698506437e-19,0.316645767569891,0.968,0.865,3.17184085656163e-14,"N3","TBC1D9B"
8.83252469533395e-19,1.9917668777078,0.106,0.035,3.22793447515675e-14,"N3","AC073071.1"
9.0338669141233e-19,0.934730935283345,0.412,0.262,3.3015170024355e-14,"N3","GRIN2A"
9.25732945795469e-19,0.522164128345581,0.159,0.064,3.38318362370412e-14,"N3","AC110921.1"
1.02121157671692e-18,0.848240940164486,0.902,0.572,3.73211982826965e-14,"N3","MDS2"
1.11493944904807e-18,0.813519576865395,0.321,0.175,4.07465771049108e-14,"N3","C11orf98"
1.22228378718126e-18,0.326519259723349,0.996,0.921,4.46695832863265e-14,"N3","JRKL"
1.2658954193204e-18,1.36311169234306,0.131,0.05,4.62634139944832e-14,"N3","AL365255.1"
1.46798753217269e-18,0.358476276717099,0.283,0.139,5.36490723507832e-14,"N3","BNIPL"
1.51731719587655e-18,0.403953929948139,0.989,0.865,5.54518742405042e-14,"N3","XAF1"
1.57308232267697e-18,0.953017722396854,0.125,0.046,5.74898665645526e-14,"N3","AC026412.3"
1.59962018100245e-18,1.35668287389599,0.387,0.23,5.84597191349154e-14,"N3","AL162713.2"
1.60713978236961e-18,0.538380373455725,0.495,0.291,5.87345304864799e-14,"N3","AC092979.1"
1.64315750697141e-18,1.84327266269569,0.103,0.034,6.00508342497771e-14,"N3","AP000350.5"
1.87827412432026e-18,0.767266479581336,0.272,0.14,6.86434061474083e-14,"N3","AC010203.2"
1.94948947776872e-18,0.511299762978122,0.527,0.362,7.12460424545356e-14,"N3","TMED2-DT"
1.9563845229146e-18,0.487213954730437,0.209,0.096,7.14980287744368e-14,"N3","RSPH10B2"
2.03530241756913e-18,0.793226527975923,0.764,0.52,7.43821621524814e-14,"N3","PBLD"
2.19290514992311e-18,2.33798147913079,0.172,0.081,8.014191160909e-14,"N3","AC099796.2"
2.23950409130327e-18,0.326814729898794,0.223,0.102,8.18449165207694e-14,"N3","WWOX-AS1"
2.30614895465785e-18,0.379322116089824,0.178,0.074,8.4280519696926e-14,"N3","MSMB"
2.31375573703299e-18,0.265373680020142,0.148,0.056,8.45585171656075e-14,"N3","AC013472.3"
2.34162207869955e-18,1.09556753238125,0.129,0.047,8.55769204881539e-14,"N3","AL133166.1"
2.3748028862889e-18,0.704796080163606,1,0.998,8.67895462823143e-14,"N3","MED10"
2.51464649799618e-18,0.658067180569409,0.11,0.037,9.19002709157683e-14,"N3","PRR9"
2.6197022047069e-18,0.3387980793304,0.999,0.99,9.57396367732183e-14,"N3","PNPLA6"
2.66169913196518e-18,1.27617581896946,0.123,0.043,9.72744564767996e-14,"N3","AC006197.2"
2.73982388249942e-18,2.91846619555571,0.531,0.291,1.00129603609824e-13,"N3","AC068831.1"
2.74521450631917e-18,0.505899694127906,0.811,0.538,1.0032660934794e-13,"N3","NBPF19"
2.79283129914114e-18,2.81856667022354,1,1,1.02066812658412e-13,"N3","TPM3"
2.79987025448312e-18,0.565090857514868,0.177,0.075,1.0232405832034e-13,"N3","STAU2-AS1"
2.97002939217047e-18,1.20461535646102,0.209,0.097,1.08542694166262e-13,"N3","CALR3"
3.08610495794687e-18,2.76921592561944,0.108,0.039,1.12784791793126e-13,"N3","LYZL1"
3.59450973135927e-18,0.402432892992922,0.626,0.358,1.31364952642256e-13,"N3","AL121574.1"
3.65726649339853e-18,0.784798729653776,0.194,0.088,1.33658461267743e-13,"N3","TAFA4"
3.9405962568271e-18,0.717663188449638,0.124,0.044,1.44013030802003e-13,"N3","AC111170.2"
4.25507032426586e-18,0.451891058802378,0.227,0.104,1.5550580007062e-13,"N3","GSN-AS1"
4.63741868905282e-18,0.712123246468519,0.54,0.315,1.69479103410124e-13,"N3","TAF7L"
4.93043422818542e-18,0.312789275635944,0.808,0.606,1.80187649303264e-13,"N3","STARD7-AS1"
4.95320032871063e-18,0.936068513288441,0.207,0.096,1.81019659213059e-13,"N3","LINC01182"
5.72581036855408e-18,2.18023900785047,1,0.991,2.09255465729177e-13,"N3","LAMTOR3"
6.39925960789122e-18,0.498034865067563,0.963,0.746,2.33867341629993e-13,"N3","ZSCAN2"
6.67526115447598e-18,3.36134640480522,1,1,2.43954094151479e-13,"N3","ADNP"
6.98185285011195e-18,0.370567801069934,1,1,2.55158794260191e-13,"N3","PPHLN1"
8.51028477221553e-18,1.23340289461663,0.139,0.053,3.11016867285389e-13,"N3","AC090970.1"
8.62693143664049e-18,0.32461489186646,1,0.972,3.15279836283463e-13,"N3","YKT6"
8.78878951295621e-18,0.297767826499816,0.213,0.103,3.21195101540498e-13,"N3","FZD9"
9.40747971214345e-18,0.490647001903257,0.489,0.289,3.43805753559995e-13,"N3","NPIPA5"
9.6332389920329e-18,1.29326099825582,0.218,0.108,3.52056352202834e-13,"N3","AC090164.5"
1.06110875979301e-17,1.59480262082514,0.128,0.05,3.87792807353952e-13,"N3","AC007952.6"
1.18108423839719e-17,0.327200029157272,0.395,0.222,4.31639045764635e-13,"N3","LINC01186"
1.18973175061494e-17,0.540602169001252,0.147,0.057,4.34799365579736e-13,"N3","LINC00320"
1.19072163077289e-17,0.30292016408197,0.991,0.883,4.35161127182259e-13,"N3","ZNF460"
1.22115445736831e-17,0.407064493399839,0.322,0.182,4.46283107989823e-13,"N3","SLAIN1"
1.283707913428e-17,0.3534699133704,0.355,0.19,4.69143894041396e-13,"N3","AC022211.2"
1.31186006215406e-17,1.03472554468448,0.213,0.107,4.79432378314822e-13,"N3","AL031123.2"
1.51337510631965e-17,0.810255881530551,0.177,0.076,5.53078066355581e-13,"N3","AC011416.3"
1.63938891220834e-17,2.59025704004983,0.259,0.151,5.99131071855662e-13,"N3","AC009171.2"
1.67875857907359e-17,0.720168194571047,0.316,0.176,6.13519110308233e-13,"N3","AC010632.2"
1.68726622437922e-17,1.02111368981326,0.277,0.156,6.16628314361628e-13,"N3","AL606534.1"
1.69826869817898e-17,1.21928538292667,0.135,0.053,6.20649278436489e-13,"N3","MYEOV"
1.73696346695258e-17,1.38622798583689,0.118,0.042,6.34790668632489e-13,"N3","CLCA1"
1.98805042591652e-17,1.77849500922837,0.133,0.052,7.26552908655452e-13,"N3","AC097459.1"
2.08526107664808e-17,2.34540964387982,0.355,0.228,7.62079513071808e-13,"N3","THSD7B"
2.09712681474527e-17,0.321098223130275,0.563,0.381,7.66415965716807e-13,"N3","AC092574.2"
2.10134896706668e-17,1.2466799166276,0.14,0.054,7.6795899350419e-13,"N3","AC090629.1"
2.11257930458394e-17,0.287617883297421,0.995,0.979,7.72063232653246e-13,"N3","TRIM27"
2.13314180812721e-17,0.642342946862891,0.127,0.047,7.79578005198168e-13,"N3","PDZD9"
2.29878693748377e-17,0.639104519513154,0.818,0.664,8.4011467417282e-13,"N3","DPH1"
2.381291312635e-17,1.34560540070268,0.188,0.085,8.70266723115587e-13,"N3","AC016598.1"
2.43831279734496e-17,2.25942888905364,0.165,0.075,8.91105794917691e-13,"N3","SERPINB4"
2.479811074986e-17,1.05656757327065,0.14,0.054,9.06271755464383e-13,"N3","PTH"
2.66423283409609e-17,1.11531151771327,0.25,0.139,9.73670531548758e-13,"N3","GDF9"
2.67318971576968e-17,0.580472871593377,0.985,0.825,9.76943913525186e-13,"N3","MEX3B"
2.95130052852621e-17,1.41110756217699,0.128,0.048,1.07858229115519e-12,"N3","OR7G2"
