"from","to","z","observed","expected","sd_null","week","k","scope","density_bin","obs_minus_exp","obs_over_exp","log2_obs_over_exp","p_adj","significant"
"Hofbauer cells","Endothelial_cells",-0.950962204112781,32,38.3,6.6248689714506,8,8,"density_stratified",1,-6.3,0.835509138359386,-0.259272485348537,0.72858965372177,FALSE
"maternal macrophages","Endothelial_cells",0.0832778565636235,4,3.84,1.92127903525571,8,8,"density_stratified",1,0.16,1.0416666663954,0.058893690062854,0.976518232084367,FALSE
"STB","Endothelial_cells",-1.11666488414053,6,9.95,3.5373190784302,8,8,"density_stratified",1,-3.95,0.60301507531628,-0.729734022687655,0.660814090037491,FALSE
"unknown2","Endothelial_cells",-0.122153847954476,1,1.14,1.14609569998991,8,8,"density_stratified",1,-0.14,0.877192981686673,-0.189033824010867,0.968315282107682,FALSE
"unknown3","Endothelial_cells",-1.71520525013532,4,10.19,3.60889753444752,8,8,"density_stratified",1,-6.19,0.392541707517906,-1.3490821428574,0.397212731018902,FALSE
"vCTB2","Endothelial_cells",0.258229056344045,42,40.25,6.77692907420224,8,8,"density_stratified",1,1.75,1.04347826084364,0.0614005460108829,0.931751618016525,FALSE
"vCTBp","Endothelial_cells",1.2005666147373,1,0.32,0.566399223876658,8,8,"density_stratified",1,0.68,3.12499999023437,1.64385618572796,0.63076413110845,FALSE
"Endothelial_cells","EVT2",1.42914877623326,30,22.77,5.05895545572703,8,8,"density_stratified",1,7.23,1.31752305659563,0.397828210278267,0.523819723028452,FALSE
"EVT2","EVT2",1.99722650361648,79,63.56,7.73072056176139,8,8,"density_stratified",1,15.44,1.24292007549964,0.313733529741341,0.280896924522815,FALSE
"EVT3","EVT2",-2.07628442820407,8,17.08,4.37319659801026,8,8,"density_stratified",1,-9.08,0.468384074914029,-1.09423606685008,0.25627879477444,FALSE
"Fibroblast1","EVT2",-0.162686655928537,44,45.29,7.92935347078477,8,8,"density_stratified",1,-1.29,0.971516891124497,-0.041689014184952,0.955175195301401,FALSE
"Fibroblast2","EVT2",-1.1169956066193,293,312.03,17.0367724690335,8,8,"density_stratified",1,-19.03,0.93901227445778,-0.0907840769164003,0.660754183114374,FALSE
"Hofbauer cells","EVT2",-1.11005716778263,94,106.73,11.467877843011,8,8,"density_stratified",1,-12.73,0.880727068294943,-0.18323308684198,0.664206900443222,FALSE
"maternal macrophages","EVT2",-1.35598366320637,6,10.18,3.08263300809977,8,8,"density_stratified",1,-4.18,0.589390962614009,-0.76270315327376,0.55964326802505,FALSE
"STB","EVT2",-2.1460255792486,17,29.37,5.76414378163431,8,8,"density_stratified",1,-12.37,0.578821927116826,-0.788808516856441,0.231579011825708,FALSE
"unknown2","EVT2",0.170882752439152,4,3.62,2.2237469516675,8,8,"density_stratified",1,0.38,1.10497237538537,0.144010303598624,0.953494105914523,FALSE
