"week","sender_label","receiver_label","lr","mean_lr_score","median_lr_score","n_edges","null_mean","null_sd","z_null","p_empirical","k","p_adj"
9,"EVT2","STB","PGF->FLT1",2.25968619322975,1.65842845009315,2220,2.31141354342859,NA,NA,NA,25,NA
9,"EVT2","STB","PGF->FLT1",2.2392506579425,1.66029818010305,3378,2.31001019320327,NA,NA,NA,40,NA
8,"EVT2","STB","PGF->FLT1",2.21735903352509,1.59602661167661,5138,2.17389567854128,NA,NA,NA,40,NA
9,"EVT3","Fibroblast2","PGF->FLT1",2.21668865004646,2.19005544698996,420,2.29911899639257,NA,NA,NA,40,NA
9,"EVT3","STB","PGF->FLT1",2.21138820058507,2.10472190902422,54,2.24528072244866,NA,NA,NA,8,NA
8,"STB","EVT2","PGF->FLT1",2.18978971749761,1.09978716580381,926,1.77967629582209,NA,NA,NA,15,NA
8,"EVT2","EVT2","PGF->FLT1",2.18364465835346,1.95763459683264,4819,1.83863959475244,NA,NA,NA,15,NA
8,"Hofbauer cells","Endothelial_cells","VEGFA->KDR",2.15002961220556,2.25806890040914,191,0.157937773025458,NA,NA,NA,40,NA
8,"STB","STB","PGF->FLT1",2.1403234778416,1.20263940644703,489,1.76633916093304,NA,NA,NA,15,NA
8,"Hofbauer cells","Endothelial_cells","VEGFA->KDR",2.13569262458026,2.2652591895409,83,0.154570635776702,NA,NA,NA,15,NA
8,"EVT2","Fibroblast2","PGF->FLT1",2.13020333731155,2.15440361034072,9067,2.18291467009007,NA,NA,NA,40,NA
8,"EVT3","STB","PGF->FLT1",2.09715041325094,2.01754711989148,1521,2.07550837671292,NA,NA,NA,40,NA
8,"EVT3","Fibroblast2","PGF->FLT1",2.08779310154507,2.05600127162825,1040,2.20291407670346,NA,NA,NA,15,NA
8,"EVT3","Fibroblast2","PGF->FLT1",2.08428960722198,2.04139680778031,1617,2.11437436795818,NA,NA,NA,25,NA
8,"EVT3","Fibroblast2","PGF->FLT1",2.05995371225149,2.03826221597432,478,2.18478600938128,NA,NA,NA,8,NA
8,"EVT3","STB","PGF->FLT1",2.05422252512362,2.06885940724337,980,2.11482326557933,NA,NA,NA,25,NA
8,"STB","Endothelial_cells","PGF->FLT1",2.04903159961192,1.46098104376837,244,2.04310961584824,NA,NA,NA,40,NA
9,"STB","STB","PGF->FLT1",2.03609449951498,1.44320051687196,817,2.22461266902233,NA,NA,NA,15,NA
9,"STB","STB","PGF->FLT1",2.03561968625771,1.39452087137841,2275,2.21007083970514,NA,NA,NA,40,NA
9,"Hofbauer cells","Endothelial_cells","VEGFA->KDR",2.03420973237708,2.18905580139554,59,0.124194363955225,NA,NA,NA,15,NA
