"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000867846339629635,0.270174921859986,0.747,0.693,1,"N3","FARS2"
0.000870565294077615,0.411372833221516,0.328,0.241,1,"N3","TMEM39A"
0.000884760729040541,1.13382474137184,0.134,0.081,1,"N3","RTKN2"
0.000889165714323918,0.989434832036661,0.105,0.057,1,"N3","MIER2"
0.000889233851946536,0.349880835330612,0.715,0.672,1,"N3","PBX1"
0.000894347960509329,0.418718581169369,0.363,0.275,1,"N3","PTPN4"
0.000908735460096504,0.388705015457189,0.478,0.391,1,"N3","ASB3"
0.000910000475201021,0.47120926474757,0.384,0.295,1,"N3","MROH1"
0.000911831202373656,0.768922960661322,0.108,0.059,1,"N3","KIF22"
0.000919100736043162,0.697254080543351,0.188,0.123,1,"N3","MIR205HG"
