"k","from","to","n_weeks","rho_z","p_z","rho_l2fc","p_l2fc","median_obs_over_exp","median_z","p_adj_z","p_adj_l2fc","trend"
8,"Hofbauer cells","unknown3",2,NA,NA,NA,NA,0.77558796389041,-1.59261340675801,NA,NA,"not_significant"
8,"Hofbauer cells","vCTB2",2,NA,NA,NA,NA,0.949651041508112,-1.14893084347521,NA,NA,"not_significant"
8,"Hofbauer cells","vCTBp",2,NA,NA,NA,NA,0.971536109039742,-0.0865573120528693,NA,NA,"not_significant"
8,"maternal macrophages","Endothelial_cells",2,NA,NA,NA,NA,0.768330973173656,-0.279574349280193,NA,NA,"not_significant"
8,"maternal macrophages","EVT2",2,NA,NA,NA,NA,1.21209744965152,1.17406393911538,NA,NA,"not_significant"
8,"maternal macrophages","EVT3",2,NA,NA,NA,NA,1.36357538612772,0.975709915381767,NA,NA,"not_significant"
8,"maternal macrophages","Fibroblast1",2,NA,NA,NA,NA,1.00099157494755,0.0269273288775598,NA,NA,"not_significant"
8,"maternal macrophages","Fibroblast2",2,NA,NA,NA,NA,1.15217551321832,0.924085941945658,NA,NA,"not_significant"
8,"maternal macrophages","Hofbauer cells",2,NA,NA,NA,NA,0.968920755927027,-0.0749318082845472,NA,NA,"not_significant"
8,"maternal macrophages","maternal macrophages",2,NA,NA,NA,NA,0.362318840448435,-0.606960757985683,NA,NA,"not_significant"
8,"maternal macrophages","STB",2,NA,NA,NA,NA,0.858252876631141,-0.592026164074767,NA,NA,"not_significant"
8,"maternal macrophages","unknown2",2,NA,NA,NA,NA,0.719424459396512,-0.179429669169121,NA,NA,"not_significant"
8,"maternal macrophages","unknown3",2,NA,NA,NA,NA,0.494604238248297,-1.30473797133927,NA,NA,"not_significant"
8,"maternal macrophages","vCTB2",2,NA,NA,NA,NA,0.85294322964348,-1.09912678942989,NA,NA,"not_significant"
8,"maternal macrophages","vCTBp",2,NA,NA,NA,NA,0,-1.0000065314254,NA,NA,"not_significant"
8,"STB","Endothelial_cells",2,NA,NA,NA,NA,1.00950790606083,0.154931247076615,NA,NA,"not_significant"
8,"STB","EVT2",2,NA,NA,NA,NA,0.937229109462996,-1.95328708783847,NA,NA,"not_significant"
8,"STB","EVT3",2,NA,NA,NA,NA,1.04072933435085,0.7239962202054,NA,NA,"not_significant"
8,"STB","Fibroblast1",2,NA,NA,NA,NA,1.10226095982576,1.89159411804245,NA,NA,"not_significant"
8,"STB","Fibroblast2",2,NA,NA,NA,NA,0.976466111144694,-0.0213535172049806,NA,NA,"not_significant"
8,"STB","Hofbauer cells",2,NA,NA,NA,NA,0.9243251689831,-0.309468727628325,NA,NA,"not_significant"
8,"STB","maternal macrophages",2,NA,NA,NA,NA,1.15607079174629,0.649778348189878,NA,NA,"not_significant"
8,"STB","STB",2,NA,NA,NA,NA,1.08964029424499,1.91051720942432,NA,NA,"not_significant"
8,"STB","unknown2",2,NA,NA,NA,NA,1.0556771972854,0.821051137922013,NA,NA,"not_significant"
8,"STB","unknown3",2,NA,NA,NA,NA,1.01813132964132,0.450715892538531,NA,NA,"not_significant"
8,"STB","vCTB2",2,NA,NA,NA,NA,0.973977858245743,-1.17595425206766,NA,NA,"not_significant"
8,"STB","vCTBp",2,NA,NA,NA,NA,1.01821105237888,-0.26883493269338,NA,NA,"not_significant"
8,"unknown2","Endothelial_cells",2,NA,NA,NA,NA,2.98141719268014,2.71921069166984,NA,NA,"not_significant"
8,"unknown2","EVT2",2,NA,NA,NA,NA,1.02001703733363,0.0159825898790564,NA,NA,"not_significant"
8,"unknown2","EVT3",2,NA,NA,NA,NA,0.514801317661796,-1.03642715669935,NA,NA,"not_significant"
8,"unknown2","Fibroblast1",2,NA,NA,NA,NA,1.10773716647437,0.290993260564985,NA,NA,"not_significant"
8,"unknown2","Fibroblast2",2,NA,NA,NA,NA,0.813227575342223,-0.857945992390059,NA,NA,"not_significant"
8,"unknown2","Hofbauer cells",2,NA,NA,NA,NA,0.257953568313336,-1.69033939032298,NA,NA,"not_significant"
8,"unknown2","maternal macrophages",2,NA,NA,NA,NA,0.636942674347844,-0.239377348996721,NA,NA,"not_significant"
8,"unknown2","STB",2,NA,NA,NA,NA,1.50160487821186,0.938183807343235,NA,NA,"not_significant"
8,"unknown2","unknown2",2,NA,NA,NA,NA,5.98039212994041,2.21417569783041,NA,NA,"not_significant"
8,"unknown2","unknown3",2,NA,NA,NA,NA,0.820009232201707,-0.313713344321067,NA,NA,"not_significant"
8,"unknown2","vCTB2",2,NA,NA,NA,NA,1.32142228579025,0.943071429662975,NA,NA,"not_significant"
8,"unknown2","vCTBp",2,NA,NA,NA,NA,2.06300812563434,0.711407351984085,NA,NA,"not_significant"
8,"unknown3","Endothelial_cells",2,NA,NA,NA,NA,1.01393743764844,0.0762831866907208,NA,NA,"not_significant"
8,"unknown3","EVT2",2,NA,NA,NA,NA,0.813445170690282,-3.38876045299161,NA,NA,"not_significant"
8,"unknown3","EVT3",2,NA,NA,NA,NA,1.13698349334324,-0.0646863294173343,NA,NA,"not_significant"
8,"unknown3","Fibroblast1",2,NA,NA,NA,NA,1.21758247745667,1.70881697649882,NA,NA,"not_significant"
8,"unknown3","Fibroblast2",2,NA,NA,NA,NA,1.14540214125435,2.00047378704938,NA,NA,"not_significant"
8,"unknown3","Hofbauer cells",2,NA,NA,NA,NA,1.16030956132795,1.16064074385889,NA,NA,"not_significant"
8,"unknown3","maternal macrophages",2,NA,NA,NA,NA,1.08679199570691,0.15622770102642,NA,NA,"not_significant"
8,"unknown3","STB",2,NA,NA,NA,NA,1.02874421805725,-0.000516247963139038,NA,NA,"not_significant"
8,"unknown3","unknown2",2,NA,NA,NA,NA,0.386230995022286,-1.10835008251681,NA,NA,"not_significant"
8,"unknown3","unknown3",2,NA,NA,NA,NA,1.33037807311747,1.65670527362956,NA,NA,"not_significant"
8,"unknown3","vCTB2",2,NA,NA,NA,NA,1.03599959015717,0.491759068363537,NA,NA,"not_significant"
8,"unknown3","vCTBp",2,NA,NA,NA,NA,1.01042631870176,-0.0908351151739106,NA,NA,"not_significant"
8,"vCTB2","Endothelial_cells",2,NA,NA,NA,NA,1.07425253471024,0.96872915649702,NA,NA,"not_significant"
8,"vCTB2","EVT2",2,NA,NA,NA,NA,0.95661920562456,-2.2450672371556,NA,NA,"not_significant"
8,"vCTB2","EVT3",2,NA,NA,NA,NA,1.01068562038564,-0.56089407187549,NA,NA,"not_significant"
8,"vCTB2","Fibroblast1",2,NA,NA,NA,NA,1.05444083439717,1.35078379399611,NA,NA,"not_significant"
8,"vCTB2","Fibroblast2",2,NA,NA,NA,NA,1.01321934117946,0.617665649411421,NA,NA,"not_significant"
8,"vCTB2","Hofbauer cells",2,NA,NA,NA,NA,0.974198774507887,-0.463717137206254,NA,NA,"not_significant"
8,"vCTB2","maternal macrophages",2,NA,NA,NA,NA,0.913875224529773,-0.614653951201277,NA,NA,"not_significant"
8,"vCTB2","STB",2,NA,NA,NA,NA,1.0233650118335,0.734116913635781,NA,NA,"not_significant"
8,"vCTB2","unknown2",2,NA,NA,NA,NA,0.923511885157835,-0.511333913977646,NA,NA,"not_significant"
8,"vCTB2","unknown3",2,NA,NA,NA,NA,0.984476311661777,-0.401018363096104,NA,NA,"not_significant"
8,"vCTB2","vCTB2",2,NA,NA,NA,NA,1.03739011037399,1.58579923059685,NA,NA,"not_significant"
8,"vCTB2","vCTBp",2,NA,NA,NA,NA,0.809929594277969,-0.940576887728262,NA,NA,"not_significant"
8,"vCTBp","Endothelial_cells",2,NA,NA,NA,NA,0.801603206091542,-0.477226046715363,NA,NA,"not_significant"
8,"vCTBp","EVT2",2,NA,NA,NA,NA,0.744558174331067,-1.75348362511263,NA,NA,"not_significant"
8,"vCTBp","EVT3",2,NA,NA,NA,NA,2.14378490002959,2.56525510498934,NA,NA,"not_significant"
8,"vCTBp","Fibroblast1",2,NA,NA,NA,NA,1.15831506719083,0.549581358168021,NA,NA,"not_significant"
8,"vCTBp","Fibroblast2",2,NA,NA,NA,NA,0.955156280787053,-0.298194864661679,NA,NA,"not_significant"
8,"vCTBp","Hofbauer cells",2,NA,NA,NA,NA,1.19161536961927,0.551253934307443,NA,NA,"not_significant"
8,"vCTBp","maternal macrophages",2,NA,NA,NA,NA,0.757575756427916,-0.295972280998737,NA,NA,"not_significant"
8,"vCTBp","STB",2,NA,NA,NA,NA,1.14373990730214,0.881223911381903,NA,NA,"not_significant"
8,"vCTBp","unknown2",2,NA,NA,NA,NA,1.26582278160551,0.0117057400641167,NA,NA,"not_significant"
8,"vCTBp","unknown3",2,NA,NA,NA,NA,0.561167227707931,-1.12373640139001,NA,NA,"not_significant"
8,"vCTBp","vCTB2",2,NA,NA,NA,NA,1.01441606033366,0.23185350499466,NA,NA,"not_significant"
8,"vCTBp","vCTBp",2,NA,NA,NA,NA,0.552486187234822,-0.307538752773479,NA,NA,"not_significant"
15,"Endothelial_cells","Endothelial_cells",2,NA,NA,NA,NA,0.907362464411562,-0.367296406866445,NA,NA,"not_significant"
15,"Endothelial_cells","EVT2",2,NA,NA,NA,NA,1.17338039581023,2.67699165034097,NA,NA,"not_significant"
15,"Endothelial_cells","EVT3",2,NA,NA,NA,NA,0.988205211662864,0.31983471832333,NA,NA,"not_significant"
15,"Endothelial_cells","Fibroblast1",2,NA,NA,NA,NA,1.08469702600979,1.07993893284506,NA,NA,"not_significant"
15,"Endothelial_cells","Fibroblast2",2,NA,NA,NA,NA,0.996974908454411,-0.157467426670051,NA,NA,"not_significant"
15,"Endothelial_cells","Hofbauer cells",2,NA,NA,NA,NA,0.981669356527919,-0.288062703160047,NA,NA,"not_significant"
15,"Endothelial_cells","maternal macrophages",2,NA,NA,NA,NA,0.557041607861842,-1.16596454867007,NA,NA,"not_significant"
15,"Endothelial_cells","STB",2,NA,NA,NA,NA,0.854009149475199,-1.47525429324364,NA,NA,"not_significant"
15,"Endothelial_cells","unknown2",2,NA,NA,NA,NA,0.443131462202915,-1.09249794840093,NA,NA,"not_significant"
15,"Endothelial_cells","unknown3",2,NA,NA,NA,NA,0.956922778609049,-0.241796825226084,NA,NA,"not_significant"
15,"Endothelial_cells","vCTB2",2,NA,NA,NA,NA,0.896503154803906,-1.95528127578246,NA,NA,"not_significant"
15,"Endothelial_cells","vCTBp",2,NA,NA,NA,NA,1.8146612009625,1.91688434770538,NA,NA,"not_significant"
15,"EVT2","Endothelial_cells",2,NA,NA,NA,NA,1.01687363813316,0.36090123521276,NA,NA,"not_significant"
15,"EVT2","EVT2",2,NA,NA,NA,NA,1.13847570567756,7.89203135951267,NA,NA,"not_significant"
15,"EVT2","EVT3",2,NA,NA,NA,NA,1.14880473327615,3.24616763163109,NA,NA,"not_significant"
15,"EVT2","Fibroblast1",2,NA,NA,NA,NA,0.945679516678507,-1.6508067631149,NA,NA,"not_significant"
15,"EVT2","Fibroblast2",2,NA,NA,NA,NA,0.934416479416712,-3.48944541201852,NA,NA,"not_significant"
15,"EVT2","Hofbauer cells",2,NA,NA,NA,NA,0.960234769551553,-1.14475775891143,NA,NA,"not_significant"
15,"EVT2","maternal macrophages",2,NA,NA,NA,NA,1.07040316000079,0.464912960322007,NA,NA,"not_significant"
15,"EVT2","STB",2,NA,NA,NA,NA,1.03688673190311,1.29851734598041,NA,NA,"not_significant"
15,"EVT2","unknown2",2,NA,NA,NA,NA,0.741247022505199,-1.62535578459683,NA,NA,"not_significant"
15,"EVT2","unknown3",2,NA,NA,NA,NA,0.867881106927746,-2.75868391629219,NA,NA,"not_significant"
15,"EVT2","vCTB2",2,NA,NA,NA,NA,0.939962832556146,-3.90424517795333,NA,NA,"not_significant"
15,"EVT2","vCTBp",2,NA,NA,NA,NA,0.819341811154352,-1.57175623476802,NA,NA,"not_significant"
15,"EVT3","Endothelial_cells",2,NA,NA,NA,NA,0.792084073637566,-0.596763406489491,NA,NA,"not_significant"
15,"EVT3","EVT2",2,NA,NA,NA,NA,0.90962271532364,-2.94113721727773,NA,NA,"not_significant"
15,"EVT3","EVT3",2,NA,NA,NA,NA,1.1259968995602,-0.478995660042152,NA,NA,"not_significant"
15,"EVT3","Fibroblast1",2,NA,NA,NA,NA,1.19741559186932,2.43894095708939,NA,NA,"not_significant"
15,"EVT3","Fibroblast2",2,NA,NA,NA,NA,1.0040159152624,1.098799006328,NA,NA,"not_significant"
15,"EVT3","Hofbauer cells",2,NA,NA,NA,NA,1.02667452926249,0.722636630991711,NA,NA,"not_significant"
15,"EVT3","maternal macrophages",2,NA,NA,NA,NA,0.849950901931855,0.113243928997128,NA,NA,"not_significant"
15,"EVT3","STB",2,NA,NA,NA,NA,1.00868635427546,-0.361966123973987,NA,NA,"not_significant"
15,"EVT3","unknown2",2,NA,NA,NA,NA,0.80360460777402,-0.658427083209146,NA,NA,"not_significant"
15,"EVT3","unknown3",2,NA,NA,NA,NA,0.963726008183951,0.174907303834196,NA,NA,"not_significant"
15,"EVT3","vCTB2",2,NA,NA,NA,NA,1.02978838977972,0.877246919746928,NA,NA,"not_significant"
15,"EVT3","vCTBp",2,NA,NA,NA,NA,1.54316173940321,1.42644297798672,NA,NA,"not_significant"
15,"Fibroblast1","Endothelial_cells",2,NA,NA,NA,NA,1.13739235621373,1.25903030146349,NA,NA,"not_significant"
15,"Fibroblast1","EVT2",2,NA,NA,NA,NA,1.07277869911258,2.56695592286767,NA,NA,"not_significant"
15,"Fibroblast1","EVT3",2,NA,NA,NA,NA,0.957356425464636,-1.52516563155663,NA,NA,"not_significant"
15,"Fibroblast1","Fibroblast1",2,NA,NA,NA,NA,1.04843256790556,0.741794847096979,NA,NA,"not_significant"
15,"Fibroblast1","Fibroblast2",2,NA,NA,NA,NA,0.980888925826861,-0.44737141271957,NA,NA,"not_significant"
15,"Fibroblast1","Hofbauer cells",2,NA,NA,NA,NA,1.06391898821197,0.93762328258488,NA,NA,"not_significant"
15,"Fibroblast1","maternal macrophages",2,NA,NA,NA,NA,0.844663286303286,-0.724986843151067,NA,NA,"not_significant"
15,"Fibroblast1","STB",2,NA,NA,NA,NA,1.04197562814833,0.546529070639809,NA,NA,"not_significant"
15,"Fibroblast1","unknown2",2,NA,NA,NA,NA,0.986164392183156,-0.0705197334827418,NA,NA,"not_significant"
15,"Fibroblast1","unknown3",2,NA,NA,NA,NA,1.01153432882233,-0.001026806876122,NA,NA,"not_significant"
15,"Fibroblast1","vCTB2",2,NA,NA,NA,NA,0.945487299925034,-1.99576352672841,NA,NA,"not_significant"
15,"Fibroblast1","vCTBp",2,NA,NA,NA,NA,0.707966251591789,-1.25845477546364,NA,NA,"not_significant"
15,"Fibroblast2","Endothelial_cells",2,NA,NA,NA,NA,1.03067393884714,0.523964469217578,NA,NA,"not_significant"
15,"Fibroblast2","EVT2",2,NA,NA,NA,NA,0.973886701568144,-1.30492335880543,NA,NA,"not_significant"
15,"Fibroblast2","EVT3",2,NA,NA,NA,NA,0.983287458665444,-0.830267371222993,NA,NA,"not_significant"
15,"Fibroblast2","Fibroblast1",2,NA,NA,NA,NA,1.07204493663604,2.06774499722268,NA,NA,"not_significant"
15,"Fibroblast2","Fibroblast2",2,NA,NA,NA,NA,0.983429117871929,-0.750704539069996,NA,NA,"not_significant"
15,"Fibroblast2","Hofbauer cells",2,NA,NA,NA,NA,1.01419363923775,0.344152128247202,NA,NA,"not_significant"
15,"Fibroblast2","maternal macrophages",2,NA,NA,NA,NA,0.939505980961122,-0.642353241105573,NA,NA,"not_significant"
15,"Fibroblast2","STB",2,NA,NA,NA,NA,1.11124121711328,3.40353580576061,NA,NA,"not_significant"
15,"Fibroblast2","unknown2",2,NA,NA,NA,NA,0.910253425223191,-0.608542069674957,NA,NA,"not_significant"
15,"Fibroblast2","unknown3",2,NA,NA,NA,NA,0.933286452087975,-1.16904993771348,NA,NA,"not_significant"
15,"Fibroblast2","vCTB2",2,NA,NA,NA,NA,0.990796702743561,-0.501886056053189,NA,NA,"not_significant"
15,"Fibroblast2","vCTBp",2,NA,NA,NA,NA,0.941568728285784,-0.432078005365118,NA,NA,"not_significant"
15,"Hofbauer cells","Endothelial_cells",2,NA,NA,NA,NA,0.959736347127584,-0.348826512601439,NA,NA,"not_significant"
15,"Hofbauer cells","EVT2",2,NA,NA,NA,NA,1.02366453788155,1.48762007423937,NA,NA,"not_significant"
15,"Hofbauer cells","EVT3",2,NA,NA,NA,NA,0.821645278846676,-1.52537279175422,NA,NA,"not_significant"
15,"Hofbauer cells","Fibroblast1",2,NA,NA,NA,NA,1.00010622914628,0.00536201708452398,NA,NA,"not_significant"
15,"Hofbauer cells","Fibroblast2",2,NA,NA,NA,NA,0.991249256970965,-0.243202997242097,NA,NA,"not_significant"
15,"Hofbauer cells","Hofbauer cells",2,NA,NA,NA,NA,0.967969456713662,-0.480372782871121,NA,NA,"not_significant"
15,"Hofbauer cells","maternal macrophages",2,NA,NA,NA,NA,0.791241275255321,-0.818555258405433,NA,NA,"not_significant"
15,"Hofbauer cells","STB",2,NA,NA,NA,NA,1.07032799803684,1.38401151437344,NA,NA,"not_significant"
15,"Hofbauer cells","unknown2",2,NA,NA,NA,NA,1.15954688932094,0.513564647605513,NA,NA,"not_significant"
15,"Hofbauer cells","unknown3",2,NA,NA,NA,NA,0.883888420535113,-1.09269515492661,NA,NA,"not_significant"
15,"Hofbauer cells","vCTB2",2,NA,NA,NA,NA,0.971355781598054,-0.836054279143296,NA,NA,"not_significant"
15,"Hofbauer cells","vCTBp",2,NA,NA,NA,NA,0.899510319463596,-0.359650783487886,NA,NA,"not_significant"
15,"maternal macrophages","Endothelial_cells",2,NA,NA,NA,NA,0.926998709766043,-0.0323602187149318,NA,NA,"not_significant"
15,"maternal macrophages","EVT2",2,NA,NA,NA,NA,0.852057980491405,-1.33077706222044,NA,NA,"not_significant"
15,"maternal macrophages","EVT3",2,NA,NA,NA,NA,0.940248447066581,0.711053994837766,NA,NA,"not_significant"
15,"maternal macrophages","Fibroblast1",2,NA,NA,NA,NA,1.09005300264642,0.658281178356554,NA,NA,"not_significant"
15,"maternal macrophages","Fibroblast2",2,NA,NA,NA,NA,1.41200532103361,3.09755586668039,NA,NA,"not_significant"
15,"maternal macrophages","Hofbauer cells",2,NA,NA,NA,NA,0.953251850443718,-0.551683102924115,NA,NA,"not_significant"
15,"maternal macrophages","maternal macrophages",2,NA,NA,NA,NA,0.619195046311828,-0.278027275098684,NA,NA,"not_significant"
15,"maternal macrophages","STB",2,NA,NA,NA,NA,0.814074128768938,-1.12185556313632,NA,NA,"not_significant"
15,"maternal macrophages","unknown2",2,NA,NA,NA,NA,2.29289617270897,1.22174189642649,NA,NA,"not_significant"
15,"maternal macrophages","unknown3",2,NA,NA,NA,NA,0.607556816143813,-1.31029629777447,NA,NA,"not_significant"
15,"maternal macrophages","vCTB2",2,NA,NA,NA,NA,0.932697330313789,-0.6704070880079,NA,NA,"not_significant"
15,"maternal macrophages","vCTBp",2,NA,NA,NA,NA,1.12328366861846,0.103276782178123,NA,NA,"not_significant"
15,"STB","Endothelial_cells",2,NA,NA,NA,NA,1.10807168381018,1.14946769542199,NA,NA,"not_significant"
15,"STB","EVT2",2,NA,NA,NA,NA,0.896190841164251,-4.01043879329346,NA,NA,"not_significant"
