"dataset","niche_cluster","gene","avg_diff","p_val","p_adj"
"Slide-tags","N1","LAMB1",-0.310509654852577,0.00451722190852626,0.313695965869879
"Slide-tags","N1","POLA1",-0.313600805235859,0.00451722190852626,0.313695965869879
"Slide-tags","N1","GRB2",-0.343111577293596,0.00451722190852626,0.313695965869879
"Slide-tags","N1","NR3C1",-0.349428832822036,0.00451722190852626,0.313695965869879
"Slide-tags","N1","CNOT4",-0.365079267703436,0.00451722190852626,0.313695965869879
"Slide-tags","N1","SLC24A3",-0.366806153530655,0.00451722190852626,0.313695965869879
"Slide-tags","N1","TPM4",-0.373323406076798,0.00451722190852626,0.313695965869879
"Slide-tags","N1","DISC1",-0.545502165777504,0.00451722190852626,0.313695965869879
"Slide-tags","N1","AHR",0.520440935037693,0.00790513833992095,0.340738721548317
"Slide-tags","N1","FAM135A",0.334718847753994,0.00790513833992095,0.340738721548317
