"week","from","to","n_k_tested","n_k_sig","median_z","robust_fraction"
9,"STB","FIB2",4,0,-0.486595394813656,0
9,"STB","Hofbauer cells",4,1,0.886522182521762,0.25
9,"STB","STB",4,0,0.0325630866363472,0
9,"STB","STB-progenitor",4,0,-1.59799946355971,0
9,"STB","vCTB",4,0,-0.241617133096253,0
9,"STB","vCTBp",4,0,-0.318433312276935,0
9,"STB-progenitor","Endothelial",4,0,-0.204273989018168,0
9,"STB-progenitor","Erythroblasts",4,0,0.483286070119376,0
9,"STB-progenitor","EVT",4,0,0.0111435415729422,0
9,"STB-progenitor","EVT-progenitor",4,0,-1.15027998262545,0
9,"STB-progenitor","EVT3",4,0,-0.326128180013257,0
9,"STB-progenitor","FIB1",4,0,-0.751614647919273,0
9,"STB-progenitor","FIB2",4,0,-0.112858891450903,0
9,"STB-progenitor","Hofbauer cells",4,0,0.883451264918897,0
9,"STB-progenitor","STB",4,0,0.325748217968345,0
9,"STB-progenitor","STB-progenitor",4,0,-0.502493696797597,0
9,"STB-progenitor","vCTB",4,0,0.375387968012786,0
9,"STB-progenitor","vCTBp",4,0,0.393628702620114,0
9,"vCTB","Endothelial",4,0,-0.0263281071705069,0
9,"vCTB","Erythroblasts",4,0,-0.732203464428072,0
9,"vCTB","EVT",4,0,-0.596318216487226,0
9,"vCTB","EVT-progenitor",4,0,-1.70967122239068,0
9,"vCTB","EVT3",4,0,-0.689726964581406,0
9,"vCTB","FIB1",4,0,-0.264878140948274,0
9,"vCTB","FIB2",4,0,1.83352545983411,0
9,"vCTB","Hofbauer cells",4,0,-0.235062703277246,0
9,"vCTB","STB",4,0,0.00898951810550846,0
9,"vCTB","STB-progenitor",4,0,0.400465856653411,0
9,"vCTB","vCTB",4,0,-0.957333211246154,0
9,"vCTB","vCTBp",4,0,-0.278804288785279,0
9,"vCTBp","Endothelial",4,0,1.14454654989005,0
9,"vCTBp","Erythroblasts",4,0,-0.758589912076736,0
9,"vCTBp","EVT",4,0,0.674057206466187,0
9,"vCTBp","EVT-progenitor",4,0,-0.368097093948135,0
9,"vCTBp","EVT3",4,0,-0.273664890939075,0
9,"vCTBp","FIB1",4,0,-0.681722497306043,0
9,"vCTBp","FIB2",4,0,0.45475549433982,0
9,"vCTBp","Hofbauer cells",4,0,-0.534401541002213,0
9,"vCTBp","STB",4,0,0.599811396843675,0
9,"vCTBp","STB-progenitor",4,0,-0.917753393107732,0
9,"vCTBp","vCTB",4,0,-0.417014885410787,0
9,"vCTBp","vCTBp",4,0,-0.239803198831831,0
11,"Endothelial","Endothelial",4,0,-0.0362045589380207,0
11,"Endothelial","Erythroblasts",4,0,-1.02814665841632,0
11,"Endothelial","EVT-progenitor",4,0,-0.2041491614531,0
11,"Endothelial","FIB1",4,0,1.74246135340106,0
11,"Endothelial","FIB2",4,0,-1.21541393287315,0
11,"Endothelial","Hofbauer cells",4,0,-0.610161117826473,0
11,"Endothelial","STB",4,0,0.600958982580371,0
11,"Endothelial","STB-progenitor",4,0,-0.318155896445911,0
11,"Endothelial","vCTB",4,0,0.990982171883704,0
11,"Erythroblasts","Endothelial",4,0,-0.516139522771555,0
11,"Erythroblasts","Erythroblasts",4,0,-1.00244386181004,0
11,"Erythroblasts","EVT-progenitor",4,0,-0.918510986565109,0
11,"Erythroblasts","FIB1",4,0,1.35526882467307,0
11,"Erythroblasts","FIB2",4,0,0.029301460031778,0
11,"Erythroblasts","Hofbauer cells",4,0,-1.25278320234706,0
11,"Erythroblasts","STB",4,0,1.11310186190869,0
11,"Erythroblasts","STB-progenitor",4,0,-0.577742970695723,0
