"cell","week","label","permissiveness","z_mmp","z_tol","z_nk","z_ea","x","y"
"W8-2_W8-2_tile_0_cell_517",8,"EVT3",3.79428658314647,2.63472693796871,2.28095963044811,-0.113915971692448,-1.2353159569628,161.71522,2335.85496
"W8-2_W8-2_tile_0_cell_520",8,"EVT2",3.30227364135756,1.3901344017801,2.41782803537258,-0.128396087334368,-0.634084883129495,155.39711,2121.1812
"W8-2_W8-2_tile_0_cell_522",8,"EVT2",-1.08924734739692,-0.416395248955352,-0.0792992478247582,-0.0797227570623014,-0.673275607679116,164.27086,2341.39218
"W8-2_W8-2_tile_0_cell_560",8,"EVT3",3.92416426653755,1.73601168924716,2.76511965447763,-0.111966754957463,-0.688933832144698,208.42664,2193.87496
"W8-2_W8-2_tile_0_cell_561",8,"EVT2",-1.64631160840559,-0.518259008394854,-0.156657645651629,-0.00538024204470662,-0.976775196403813,218.93316,2301.06986
"W8-2_W8-2_tile_0_cell_578",8,"EVT3",4.4983669389032,2.77029996439275,2.92479280001912,-0.110997707747274,-1.30772353325594,183.8641,2168.31856
"W8-2_W8-2_tile_0_cell_588",8,"EVT2",-1.73127467095028,-0.501885956793264,-0.237853809078955,-0.0101925728198411,-1.0017274778979,76.6692,2118.48358
"W8-2_W8-2_tile_0_cell_614",8,"EVT2",-1.48482439539505,-0.506622631092773,-0.138537093071784,-0.0710564476985551,-0.910721118929052,80.07672,2352.6086
"W8-2_W8-2_tile_0_cell_628",8,"EVT3",3.7355187321892,2.48303177087403,2.28416548269283,-0.107855824873748,-1.13953434625141,141.2701,2321.08904
"W8-2_W8-2_tile_0_cell_629",8,"EVT3",4.01205815810922,2.7760641551225,1.53021066410133,-0.124035508215419,-0.418252169330028,50.26092,2224.25868
"W8-2_W8-2_tile_0_cell_631",8,"EVT2",3.25815353431119,1.78723943094994,2.06613800542956,-0.123348333053937,-0.718572235122243,29.38986,2255.21032
"W8-2_W8-2_tile_0_cell_635",8,"EVT3",3.74818410192367,2.98879008173394,1.99238876336521,-0.123781932598677,-1.35677667577415,126.3622,2335.14506
"W8-2_W8-2_tile_0_cell_637",8,"EVT2",2.47612141258024,1.0427868412379,2.64909776486273,-0.108423776272397,-1.32418696979278,170.73095,2277.21722
"W8-2_W8-2_tile_0_cell_676",8,"EVT3",3.4061176803353,2.25448196277201,1.959011419258,-0.120567424147072,-0.927943125841784,138.64347,2348.42019
"W8-2_W8-2_tile_0_cell_690",8,"vCTB2",-1.27087360833785,-0.635404342280246,-0.526667514840755,-0.0344014954131709,-0.143203246630015,62.61318,2121.1812
"W8-2_W8-2_tile_0_cell_705",8,"unknown3",-4.34552338530386,-0.802283123596516,-0.341494663905668,3.86891373485316,0.667168137051483,249.03292,2102.15588
"W8-2_W8-2_tile_0_cell_708",8,"EVT2",-1.01484546046164,-0.703353979870973,-0.456246300875043,-0.0947580788914637,0.0499967413929093,70.84802,2251.73181
"W8-2_W8-2_tile_0_cell_752",8,"EVT2",1.90581629885265,0.688354564462218,1.70710014912197,-0.120870884777914,-0.610509299509445,173.64154,2258.1919
"W8-2_W8-2_tile_0_cell_766",8,"EVT3",3.98364854736013,2.51054234847224,2.38689856518079,-0.110037163457042,-1.02382952974995,236.3967,2115.64398
"W8-2_W8-2_tile_0_cell_769",8,"EVT3",3.42538734618557,2.49482062344863,2.02716829299581,-0.113963857217249,-1.21056542747612,182.30232,2109.8228
"W8-2_W8-2_tile_0_cell_810",8,"EVT3",3.67267104092782,2.7723962937488,2.16064652645834,-0.11732350805217,-1.37769528733148,203.88328,2352.18266
"W8-2_W8-2_tile_0_cell_811",8,"EVT3",3.65557677829137,2.46960480874416,2.2617150351556,-0.119864557319001,-1.19560762292739,220.63692,2352.32464
"W8-2_W8-2_tile_0_cell_812",8,"EVT3",4.26672129606581,2.57115215284058,2.83311551199771,-0.100760275647066,-1.23830664441954,153.05444,2350.90484
"W8-2_W8-2_tile_0_cell_813",8,"EVT2",-1.13005406470009,-0.433082984830748,-0.0755265953808039,-0.0862744965270936,-0.707718981015633,171.36986,2352.75058
"W8-2_W8-2_tile_0_cell_819",8,"vCTB2",-1.51516286969283,-0.553471334845662,-0.249266928916087,0.00509587512188545,-0.707328730809196,254.99608,2348.91712
"W8-2_W8-2_tile_0_cell_821",8,"EVT3",4.77681484482206,1.79931225582531,3.43337654498816,-0.108673870583675,-0.564547826575083,115.7137,2351.33078
"W8-2_W8-2_tile_0_cell_823",8,"EVT3",3.36012693074548,2.20296412714329,2.1176652212422,-0.115950493064817,-1.07645291070483,126.22022,2344.65772
"W8-2_W8-2_tile_0_cell_824",8,"EVT3",3.899556071964,1.67633459163795,2.63427040928251,-0.13034998760478,-0.541398916561229,92.9969,2339.54644
"W8-2_W8-2_tile_0_cell_825",8,"EVT3",3.82894321867176,2.4399623999785,1.51429103651019,-0.121052417358805,-0.246362635175736,177.19104,2336.13892
"W8-2_W8-2_tile_0_cell_826",8,"EVT3",3.42213382994439,2.20492480186924,2.19575843725629,-0.114887951039266,-1.09343736022041,256.13192,2338.4106
"W8-2_W8-2_tile_0_cell_827",8,"EVT3",4.65987026025067,2.83672903106054,2.92614226859683,-0.109411174745993,-1.2124122141527,68.29238,2335.00308
"W8-2_W8-2_tile_0_cell_828",8,"EVT3",3.72544394595087,2.65223428647391,2.33829700335635,-0.114835524297285,-1.37992286817668,136.37179,2329.82081
"W8-2_W8-2_tile_0_cell_830",8,"EVT3",3.629945424935,2.50804851230411,2.24993384699762,-0.112111999899654,-1.24014893426637,151.42167,2328.89794
"W8-2_W8-2_tile_0_cell_831",8,"EVT3",4.59159409701218,2.72166431389729,2.94516334101441,-0.112165998250165,-1.18739955614968,86.03988,2326.76824
"W8-2_W8-2_tile_0_cell_832",8,"unknown3",-1.33132215652391,-0.493283546442369,-0.377800806232762,-0.0913278444427002,-0.551565648291476,253.71826,2325.49042
"W8-2_W8-2_tile_0_cell_833",8,"EVT3",4.45824802632976,2.79355702943846,2.67829358315314,-0.114345157000563,-1.1279477432624,193.66072,2320.94706
"W8-2_W8-2_tile_0_cell_835",8,"EVT2",-1.42046899824753,-0.614852170822058,-0.127696608837674,-0.0400040899703254,-0.717924308558122,257.83568,2316.97162
"W8-2_W8-2_tile_0_cell_837",8,"EVT3",6.70308877401529,2.10040343820916,4.75776298966017,-0.116547764046847,-0.271625417900889,222.05672,2312.78321
"W8-2_W8-2_tile_0_cell_838",8,"EVT2",0.504136017548931,-0.24890569217817,0.88724446901606,-0.0851047955320835,-0.219307554821042,231.14344,2311.15044
"W8-2_W8-2_tile_0_cell_840",8,"EVT2",-1.39003421444231,-0.561892800956159,-0.194495130926865,0.00367309893256504,-0.629973183626719,182.30232,2312.28628
"W8-2_W8-2_tile_0_cell_841",8,"EVT2",3.38394574619553,2.31889715965904,2.0239058395675,-0.115093200047043,-1.07395045307805,190.2532,2305.0453
"W8-2_W8-2_tile_0_cell_842",8,"EVT3",4.36829860993807,1.87305316723945,2.91748722986297,-0.113333788749297,-0.535575575913652,243.06976,2298.79818
"W8-2_W8-2_tile_0_cell_843",8,"EVT2",-2.00034192464159,-0.526027347097769,-0.324159634253313,-0.0115059330446664,-1.16166087633517,76.81118,2297.37838
"W8-2_W8-2_tile_0_cell_844",8,"EVT3",3.59572273020896,2.30276135863217,2.34186225702439,-0.121749169984872,-1.17065005543247,92.71294,2301.63778
"W8-2_W8-2_tile_0_cell_847",8,"EVT3",3.75230294065056,2.54935924766644,2.3164603157203,-0.11177681095247,-1.22529343368864,98.96006,2291.98314
"W8-2_W8-2_tile_0_cell_848",8,"EVT2",0.49936911692537,-0.149632445544339,1.08990564660543,-0.0956389513361153,-0.53654303547184,259.25548,2296.95244
"W8-2_W8-2_tile_0_cell_852",8,"EVT2",-1.14437498326511,-0.583680213915186,0.0240638009269747,-0.0664759082463254,-0.651234478523226,116.13964,2287.2978
"W8-2_W8-2_tile_0_cell_854",8,"EVT3",4.05522322168188,2.40090924527206,2.1072504739358,-0.107678599361981,-0.560615096887965,194.29963,2285.45206
"W8-2_W8-2_tile_0_cell_855",8,"EVT3",3.49406532659052,2.6047154258925,2.05277849689112,-0.115644895356832,-1.27907349154994,79.79276,2284.60018
