"dataset","week","celltype_use","PLD1_mean","PLD1_median","MMP2_mean","MMP2_median","MMP9_mean","MMP9_median","CDH1_mean","CDH1_median","GALNT1_mean","GALNT1_median","HLA-G_mean","HLA-G_median","FLT1_mean","FLT1_median","PGF_mean","PGF_median","VEGFA_mean","VEGFA_median","NKG7_mean","NKG7_median","GNLY_mean","GNLY_median","score_MMP_ECM_Remodeling_mean","score_MMP_ECM_Remodeling_median","score_Immune_Tolerance_mean","score_Immune_Tolerance_median","score_Cytotoxic_NK_mean","score_Cytotoxic_NK_median","score_Ethanolamine_Metabolism_mean","score_Ethanolamine_Metabolism_median","ratio_log_PLD1_MMP9_mean","ratio_log_PLD1_MMP9_median","n_cells"
"Multiome",6,"EVT3",0.255137503754288,0,1.66838221319717,1.77930181400066,0,0,0.375117478672398,0,0.291628027143293,0,1.32226032233584,1.15706388663339,3.4476365314411,3.39114133175581,1.01640032139863,0.844471394685243,0.0797863001498689,0,0,0,0,0,0.268205353896827,0.297447518755972,0.221942998172776,0.242182280056346,-0.00149752477220703,-0.00157401600110142,-0.162342095109065,-0.146447252750289,0.17417366790083,0,12
"Multiome",6,"maternal macrophages",0.365888908443009,0,0,0,1.10459884170673,0,0,0,0.230392116894658,0,0,0,0.135600670402751,0,0,0,0,0,0,0,0,0,0.300412531401629,0.286313860073246,0.095638900184354,0.149665363327596,-0.00167601916929822,-0.00106171482439935,-0.0693107509507479,-0.146641400463678,-0.274344230441543,0,8
"Multiome",6,"Hofbauer cells",0.543340385218693,0,0,0,0.763743496489055,0,0.327715478783621,0,0.418996105772719,0,0,0,1.28628531035158,1.16696048982386,0.625031159008947,0,0,0,0,0,0,0,0.0619113925079952,0.00299730743638441,0.115392750897521,0.0813039154285325,-0.00220568057478708,-0.00201838644065122,-0.0453202571351748,-0.119973988037376,-0.0722770172362052,0,6
"Multiome",6,"Maternal fibroblast",0,0,0.937772255919467,1.13768625351891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107719844058866,0.0793398888828596,-0.0824609300978605,-0.0829476252365612,-0.00428917480331224,-0.00386089980239515,-0.174324397522507,-0.185042190998087,0,0,3
"Multiome",7,"vCTB2",0.0826345043961499,0,0.0141662235512039,0,0,0,1.25734738536615,1.37082116697761,0.49412028405712,0,0.0135995865845137,0,0.886704445785764,0.938892303619262,0.151390470166414,0,0.0101527033364924,0,0,0,0.00055839881701972,0,-0.0941613699150347,-0.102433028417994,-0.0208463932289943,-0.0251063746730258,-0.000509003625684053,-0.000925772716397399,-0.122032262954088,-0.132355313308292,0.0570296874427635,0,2047
"Multiome",7,"Fibroblast2",0.65988128969238,0,0.650110319304158,0.666097136916701,0.00424162557267278,0,0.0208110805109618,0,1.04266015099434,1.14420832087282,0.0189078671342056,0,1.33838003331559,1.45597490342979,0.0714532648999264,0,0.540228880712574,0,0.000633604021354495,0,0.000857968757941624,0,0.201854182637919,0.198711488092361,-0.0540733844725372,-0.0798307891104612,0.000643317275175825,-0.001360819989075,-0.0432424650512979,-0.0598509298438182,0.402123112431988,0,1526
"Multiome",7,"vCTBp",0.110365402825552,0,0.0172803546190564,0,0,0,1.24886854711884,1.34598931644928,0.483531554153992,0.502255041346229,0.00757360145445878,0,0.63026600657392,0.619065583191926,0.113153849667183,0,0.0239424938199713,0,0,0,0,0,-0.16250629756265,-0.167174558521923,-0.0566387953618019,-0.0762113939576511,-0.000476293253311768,-0.000959937525215593,-0.113771161339017,-0.120828748315573,0.0797939918699272,0,807
"Multiome",7,"EVT2",0.192555279893878,0,1.35517158577196,1.49995559776695,0.004471651992464,0,0.336593906285756,0,1.5089829819927,1.54355607580715,0.485665183687937,0,2.08888984486188,2.22079752695588,1.73308414056874,1.77156229481191,0.0306327871651495,0,0,0,0.00270306420423387,0,0.223953708342019,0.20253006904874,0.130463483978391,0.121629535418519,-0.000689155816749532,-0.00139399560653779,-0.171318184452313,-0.186222343044883,0.142365803550152,0,345
"Multiome",7,"STB",0.0360566338694104,0,0.0228011146064779,0,0,0,0.6423951632001,0.582991676340457,0.437032037696418,0,0.0116471087209957,0,0.827226191262133,0.62188783570515,1.5500574260898,1.59113220953525,0.0432294482509345,0,0,0,0.0029244643303108,0,0.000979749568159206,-0.00834213324609759,0.0223371881450128,0.019718244661349,-0.000529278150102797,-0.000766325631528563,-0.101532477824665,-0.111195382890617,0.0247498198437136,0,327
"Multiome",7,"Fibroblast1",0.219520930665381,0,0.146700245988384,0,0,0,0.0141143876049612,0,0.516600219325145,0,0.0117162018063181,0,2.28822080065851,2.45583068118429,0.216778209323803,0,0.240133810832382,0,0,0,0,0,-0.0407029097880082,-0.0448683607658098,-0.0651372778836451,-0.0829607896236118,-0.00100840709382407,-0.00150927447962545,-0.0623164837598354,-0.0686493017966907,0.141025648527093,0,299
"Multiome",7,"Endothelial_cells",0.70695392626778,0.698396725471648,0.156261584201712,0,0,0,0.0538060962717148,0,0.913686256241183,1.04752222917265,0.0122745563425398,0,1.56422162350146,1.7575189618172,0.0240947861767252,0,0.0502407125095665,0,0,0,0,0,-0.121243061267191,-0.148879084672858,-0.0554461266425257,-0.0742356337855637,-0.00302177852422411,-0.00288636618727614,-0.0485029416562102,-0.043736055653091,0.439752543645114,0.529639391030031,92
"Multiome",7,"vCTB1",0.215228000818281,0,0.0239089197188651,0,0,0,1.34206895220068,1.43907967935122,0.509657735487532,0,0.0134407135171788,0,0.881427954138071,0.863942226744087,0.0739613227784511,0,0.00929784121772892,0,0,0,0,0,-0.189596127313225,-0.222532113097635,-0.0491965747828102,-0.0660401550495222,-0.000301334071383528,-0.000977468148207097,-0.0887845467531436,-0.0900307756633252,0.137553575015437,0,85
"Multiome",7,"EVT3",0.281570728128435,0,2.08288777273246,2.19675064367802,0,0,0.44287726115096,0,0.850754249808797,0.902491302479983,1.93415674970581,2.15931324215,3.60611065274216,3.89184369163359,0.970949340072889,0.947510231438569,0.092555930861296,0,0,0,0,0,0.49766958439664,0.571894154940643,0.225915221221556,0.246804107270876,-0.00131645448697357,-0.000992043611994013,-0.139601352980069,-0.152788833883554,0.206898516470263,0,79
"Multiome",7,"unknown2",0.318469828941892,0,0.308360514139334,0,0,0,0.418660379569912,0,0.731189669659735,0,0.02246695239584,0,0.849705078367267,0,0.293203644449749,0,0.396397967234548,0,0,0,0,0,0.0524529101994709,0.0527172337380478,-0.0435497919586371,-0.0655499115514337,-0.00357514861202492,-0.00224851749387643,-0.097098394456444,-0.115122584181488,0.211117980929023,0,51
"Multiome",7,"Hofbauer cells",0.95187350143065,1.0073565004548,0,0,0.0599652670379477,0,0.0483362884929934,0,0.684311214023548,0,0.0350250030527587,0,0.184297099722401,0,0.0488281336407107,0,0.688635711425516,0,0,0,0,0,0.213002869113394,0.214341242046119,0.0388103678206478,0.0412886950634714,-0.00220631134392186,-0.0017539464633004,0.0470769441028927,0.0351230252831682,0.49963599501678,0.696813243083076,44
"Multiome",7,"maternal macrophages",0.542794053064081,0,0.2125471549187,0,0.240112706017703,0,0.0625399291407989,0,0.606468132888728,0,0.0509342895522143,0,0.183122237256595,0,0.0365187691964307,0,0.131704297140325,0,0.0488614155886102,0,0,0,0.378186751681045,0.434924296973925,0.112423366747832,0.108303634895486,0.00553535705785677,-0.00180217960131756,0.0442535269537989,-0.00440649829405321,0.180742144376169,0,41
"Multiome",7,"EVT1",0.131688163428901,0,0.258178269081727,0,0,0,0.874709497796136,0.960487765550459,1.06998116363452,1.32216344047894,0.074710291802557,0,1.55412806322504,1.66035992329323,0.971844996262428,0.858553759016645,0,0,0,0,0,0,0.0416374284042153,0.0169430127159898,0.0158777920312425,0.00950073548255072,-0.00127170356428687,-0.00114477522290925,-0.12333763423015,-0.119445975100772,0.0854463469116323,0,18
