"dataset","niche_cluster","gene","avg_diff","p_val","p_adj"
"STARmap","N1","SRI",0.383913714617338,0.685714285714286,1
"STARmap","N1","PICALM",0.379974707962695,0.8,1
"STARmap","N1","SAT1",0.379054578506402,0.8,1
"STARmap","N1","RPL37",0.378222552341654,0.933333333333333,1
"STARmap","N1","HEG1",0.377814578277412,0.571428571428571,1
"STARmap","N1","GREB1L",0.377692886219147,0.228571428571429,1
"STARmap","N1","LINC02055",0.376981675118943,0.685714285714286,1
"STARmap","N1","MT1E",0.376924912913252,0.571428571428571,1
"STARmap","N1","TET3",0.374215845946727,0.685714285714286,1
"STARmap","N1","LRRFIP1",0.374176332118553,0.685714285714286,1
"STARmap","N1","RASA1",0.370367198662251,0.8,1
"STARmap","N1","WIPF1",0.370022048344505,0.571428571428571,1
"STARmap","N1","CMIP",0.367038084531577,0.8,1
"STARmap","N1","HAPLN3",0.366396156062368,0.476190476190476,1
"STARmap","N1","HPGD",0.364728803078925,0.571428571428571,1
"STARmap","N1","PCSK6",0.361110752544507,0.571428571428571,1
"STARmap","N1","ALB",0.35866713465718,0.228571428571429,1
"STARmap","N1","PPP3CA",0.356763528185861,0.571428571428571,1
"STARmap","N1","RPS6",0.355694772360575,0.933333333333333,1
"STARmap","N1","UPP1",0.3543022116272,0.380952380952381,1
"STARmap","N1","THRB",0.35423683001369,0.8,1
"STARmap","N1","GCN1",0.353958464373089,0.571428571428571,1
"STARmap","N1","PCED1B",0.353718261186467,0.304761904761905,1
"STARmap","N1","PGF",0.352793800867152,0.571428571428571,1
"STARmap","N1","ASCC3",0.350356442129478,0.380952380952381,1
"STARmap","N1","RPL18A",0.349227798598804,0.933333333333333,1
"STARmap","N1","PTK2",0.348080719816139,0.571428571428571,1
"STARmap","N1","GBE1",0.347735973067785,0.476190476190476,1
"STARmap","N1","TNNI2",0.34624888573853,0.685714285714286,1
"STARmap","N1","ELMO1",0.342585036461122,0.476190476190476,1
"STARmap","N1","DENND1A",0.342519392053722,0.933333333333333,1
"STARmap","N1","SYPL1",0.339676838058472,0.571428571428571,1
"STARmap","N1","RPL17",0.339392729755716,0.933333333333333,1
"STARmap","N1","MGAT5",0.337660588295266,1,1
"STARmap","N1","IGF2BP3",0.33431425931004,0.685714285714286,1
"STARmap","N1","ANXA2",0.333560612032183,0.685714285714286,1
"STARmap","N1","PFN1",0.332876769487997,1,1
"STARmap","N1","CLIC4",0.331388055699197,0.933333333333333,1
"STARmap","N1","AC007319.1",0.330035897989623,0.380952380952381,1
"STARmap","N1","DNM2",0.32780002869868,0.571428571428571,1
"STARmap","N1","SH3PXD2B",0.327740212959967,0.476190476190476,1
"STARmap","N1","CDC42SE2",0.327646865345367,0.933333333333333,1
"STARmap","N1","CDK7",0.327132996784229,0.685714285714286,1
"STARmap","N1","HOMER1",0.325761188729645,0.685714285714286,1
"STARmap","N1","FHOD3",0.324208916893413,0.476190476190476,1
"STARmap","N1","RPS17",0.324144608169643,0.933333333333333,1
"STARmap","N1","FOS",0.322541962163427,0.476190476190476,1
"STARmap","N1","RPL9",0.321902907362082,0.933333333333333,1
"STARmap","N1","CD63",0.318030068503581,0.571428571428571,1
"STARmap","N1","BCAR3",0.315290667091501,0.476190476190476,1
"STARmap","N1","FGD4",0.312476131963099,0.933333333333333,1
"STARmap","N1","RAPGEF1",0.312344146263864,0.933333333333333,1
"STARmap","N1","EGLN3",0.311445654810992,0.571428571428571,1
"STARmap","N1","ZMYND8",0.310985063274153,0.571428571428571,1
"STARmap","N1","GRHL1",0.308664161609977,0.685714285714286,1
"STARmap","N1","SESTD1",0.306847144758586,0.571428571428571,1
"STARmap","N1","SLC16A3",0.302165983714272,0.476190476190476,1
"STARmap","N1","SEPTIN11",0.30214570984651,0.933333333333333,1
"STARmap","N1","GRK3",0.299704251848117,0.933333333333333,1
"STARmap","N1","ACTN4",0.296907868879607,0.304761904761905,1
"STARmap","N1","TAGLN2",0.296091430777249,0.8,1
"STARmap","N1","GCSH",0.294173951055688,0.933333333333333,1
"STARmap","N1","GRAMD2B",0.290559570085296,0.476190476190476,1
"STARmap","N1","ACTN1",0.290511422085436,0.304761904761905,1
"STARmap","N1","FMR1",0.290401487285329,0.571428571428571,1
"STARmap","N1","BAIAP2L1",0.290323324863979,0.933333333333333,1
"STARmap","N1","ASCL2",0.289476881612885,0.8,1
"STARmap","N1","STK3",0.288792074439132,0.476190476190476,1
"STARmap","N1","MYH9",0.285806903543119,1,1
"STARmap","N1","UGP2",0.285311701499702,0.571428571428571,1
"STARmap","N1","RRBP1",0.282553682521975,0.380952380952381,1
"STARmap","N1","PPIB",0.28174322543972,0.571428571428571,1
"STARmap","N1","HIST1H2AC",0.281717100945831,0.685714285714286,1
"STARmap","N1","HELZ",0.280148495644329,0.571428571428571,1
"STARmap","N1","TGFB1",0.278158788900646,0.685714285714286,1
"STARmap","N1","CMTM4",0.27654973047881,0.8,1
"STARmap","N1","SDK2",0.275371508898778,0.571428571428571,1
"STARmap","N1","RPL29",0.273754306705507,1,1
"STARmap","N1","PPP1R14B",0.273190497374836,0.933333333333333,1
"STARmap","N1","AC078881.1",0.271798139180812,0.685714285714286,1
"STARmap","N1","ARHGAP10",0.271698827257517,0.476190476190476,1
"STARmap","N1","PADI1",0.271388805061405,0.571428571428571,1
"STARmap","N1","LINC01949",0.270019338126342,0.8,1
"STARmap","N1","RPLP2",0.268895270317692,1,1
"STARmap","N1","LTBP1",0.267886730332349,0.571428571428571,1
"STARmap","N1","RPL41",0.267016899806649,1,1
"STARmap","N1","VAV2",0.264045488924337,0.685714285714286,1
"STARmap","N1","DSP",0.263430125672428,0.933333333333333,1
"STARmap","N1","MORF4L2",0.262727523711937,0.933333333333333,1
"STARmap","N1","KLF6",0.260706746676873,0.933333333333333,1
"STARmap","N1","FLT4",0.259990793985086,0.685714285714286,1
"STARmap","N1","NDFIP2",0.259232283189611,0.476190476190476,1
"STARmap","N1","ATF7IP2",0.257391455072844,0.685714285714286,1
"STARmap","N1","NDRG1",0.25705997587299,0.685714285714286,1
"STARmap","N1","HLA-G",0.256150324626725,0.685714285714286,1
"STARmap","N1","SH3PXD2A",0.254645648573043,0.685714285714286,1
"STARmap","N1","DPP10",0.252122978517254,0.571428571428571,1
"STARmap","N1","ADAMTS1",0.25181885573006,0.476190476190476,1
"STARmap","N1","RPS3A",0.251188130039974,1,1
"STARmap","N1","ZNF486",0.250856978106199,0.685714285714286,1
"STARmap","N1","SSH2",0.250093043949464,1,1
"STARmap","N1","GPX4",0.249801369321401,0.685714285714286,1
"STARmap","N1","PLIN2",0.247867805791108,0.685714285714286,1
"STARmap","N1","COL1A1",0.247665540924364,1,1
"STARmap","N1","RPSA",0.246890252979605,1,1
"STARmap","N1","SEPTIN9",0.243663223129787,0.933333333333333,1
"STARmap","N1","COTL1",0.241547882318806,0.685714285714286,1
"STARmap","N1","NBEAL1",0.241488853600029,0.228571428571429,1
"STARmap","N1","ACSL4",0.240162935903331,0.685714285714286,1
"STARmap","N1","DSC2",0.240158342292132,0.685714285714286,1
"STARmap","N1","EFNA1",0.239067746978706,0.685714285714286,1
"STARmap","N1","NSD3",0.236754357566427,0.571428571428571,1
"STARmap","N1","FHL2",0.235810586157834,0.685714285714286,1
"STARmap","N1","LINC01194",0.234077153412623,0.304761904761905,1
"STARmap","N1","S100A6",0.233817835068956,0.476190476190476,1
"STARmap","N1","SDCBP",0.233336691856532,0.685714285714286,1
"STARmap","N1","ADAMTSL1",0.233105425693682,1,1
"STARmap","N1","GSE1",0.232423362191352,0.685714285714286,1
"STARmap","N1","P4HB",0.229740063577122,0.685714285714286,1
"STARmap","N1","LAMA4",0.228669880099617,0.304761904761905,1
"STARmap","N1","ADAMTS20",0.228565205682697,0.571428571428571,1
"STARmap","N1","AC104041.1",0.226761890057679,0.304761904761905,1
"STARmap","N1","YTHDC1",0.225147004144618,0.476190476190476,1
"STARmap","N1","RPS3",0.224845419640554,0.933333333333333,1
"STARmap","N1","GALNT1",0.224769980499538,0.476190476190476,1
"STARmap","N1","TET1",0.224418796130442,0.304761904761905,1
"STARmap","N1","RAI14",0.224400472019536,0.476190476190476,1
"STARmap","N1","IL2RB",0.224203511283583,0.571428571428571,1
"STARmap","N1","FRMD4A",0.221324916880532,0.933333333333333,1
"STARmap","N1","ACTG1",0.221032278259674,0.476190476190476,1
"STARmap","N1","ADK",0.220742970280035,0.8,1
"STARmap","N1","KSR1",0.220489236045069,0.476190476190476,1
"STARmap","N1","RPS11",0.220249751829748,1,1
"STARmap","N1","NABP1",0.219124419635449,0.571428571428571,1
"STARmap","N1","AC099520.1",0.218443642579401,0.8,1
"STARmap","N1","AP005262.2",0.216122831059371,0.571428571428571,1
"STARmap","N1","SMARCC1",0.216031076803828,0.933333333333333,1
"STARmap","N1","PERP",0.21600777096914,0.685714285714286,1
"STARmap","N1","EZR",0.215482890248738,0.8,1
"STARmap","N1","MMP12",0.21400616833757,0.571428571428571,1
"STARmap","N1","RPL4",0.213861103241443,0.933333333333333,1
"STARmap","N1","MTHFD1L",0.213798554945352,0.476190476190476,1
"STARmap","N1","RPL7",0.213540470212701,1,1
"STARmap","N1","CDK19",0.213096254858616,0.8,1
"STARmap","N1","MYO9B",0.212970680281326,0.933333333333333,1
"STARmap","N1","JPT1",0.212296492944339,0.8,1
"STARmap","N1","PKM",0.211335678356898,0.685714285714286,1
"STARmap","N1","BDP1",0.210280247410291,0.380952380952381,1
"STARmap","N1","SEC24D",0.209871780612906,0.476190476190476,1
"STARmap","N1","NHS",0.208463638827247,1,1
"STARmap","N1","MAP4",0.207796086062976,0.685714285714286,1
"STARmap","N1","PPFIBP2",0.207429808409376,0.476190476190476,1
"STARmap","N1","JAK1",0.20739012452058,0.933333333333333,1
"STARmap","N1","GRAMD1B",0.206932163234119,0.8,1
"STARmap","N1","PDZRN4",0.206620710110001,0.933333333333333,1
"STARmap","N1","IMMP2L",0.206525476963228,0.571428571428571,1
