"celltype","geneset","n_genes","disp_gini","null_mean","null_sd","coordination_z","p_value","p_adj","significant"
"STB","Immune_Tolerance",1,0.0439655713384043,0.0395641775351906,0.0157286304866383,-0.279833233231553,0.779605453438445,0.810789671575983,FALSE
"STB","Cytotoxic_NK",1,0.0710631419109915,0.0370118214045073,0.0162896409755244,-2.09036641552019,0.036584897364771,0.326976447059294,FALSE
"STB","Ethanolamine_Metabolism",1,0.0142028776127188,0.036553250374995,0.0198127413499387,1.12808072539969,0.259285828448689,0.518571656897378,FALSE
"vCTBp","MMP_ECM_Remodeling",1,0.0198798934225751,0.0340954000416424,0.0135939571990123,1.04572240189028,0.295689216839971,0.52020503538941,FALSE
"vCTBp","Immune_Tolerance",1,0.0301161862278382,0.0356539577621338,0.014399749090606,0.384574141874054,0.700552955181004,0.793762803356973,FALSE
"vCTBp","Cytotoxic_NK",1,0.0703526077902269,0.0333607650024362,0.0142720109511808,-2.59191506525682,0.00954433317029862,0.326976447059294,FALSE
"vCTBp","Ethanolamine_Metabolism",1,0.0158945256534494,0.0309574535290283,0.0157695219097993,0.955192364520974,0.339480426397393,0.52020503538941,FALSE
"vCTB2","MMP_ECM_Remodeling",1,0.0097332925081425,0.0278748664580338,0.0110196442894633,1.64629382102142,0.0997032810161082,0.432047551069802,FALSE
"vCTB2","Immune_Tolerance",1,0.0115078737248642,0.0269942518710007,0.0125487851717846,1.23409371505245,0.217167985223771,0.490784412296629,FALSE
"vCTB2","Cytotoxic_NK",1,0.0269556498355148,0.0260627704759491,0.0134751956668128,-0.0662609520026322,0.94717007066054,0.94717007066054,FALSE
"vCTB2","Ethanolamine_Metabolism",1,0.0084095452052768,0.0257584693106675,0.0146384601735204,1.18516037305706,0.235954044373379,0.490784412296629,FALSE
"unknown2","MMP_ECM_Remodeling",1,0.00713912654543893,0.0381568976690097,0.0129741881395586,2.3907290690712,0.0168149560937409,0.326976447059294,FALSE
"unknown2","Immune_Tolerance",1,0.0251225982940398,0.0353562465824849,0.0153276374273664,0.667659818369256,0.50435076454903,0.655655993913739,FALSE
"unknown2","Cytotoxic_NK",1,0.0124615315735607,0.0336998416389623,0.0164800490139808,1.28872849581064,0.197492492207233,0.490784412296629,FALSE
"unknown2","Ethanolamine_Metabolism",1,0.0244333519600484,0.0312501139255708,0.0174086879573655,0.391572391362547,0.695374190606936,0.793762803356973,FALSE
"Fibroblast1","MMP_ECM_Remodeling",1,0.012157756738247,0.0386131455353701,0.0140156948468075,1.88755443085254,0.0590857925644818,0.326976447059294,FALSE
"Fibroblast1","Immune_Tolerance",1,0.0361760209645294,0.0405039852186939,0.0149752385630163,0.289008014593171,0.772575244390463,0.810789671575983,FALSE
"Fibroblast1","Cytotoxic_NK",1,0.00752131962130719,0.0369598675822102,0.0158268481349141,1.86003845174473,0.0628800859729411,0.326976447059294,FALSE
"Fibroblast1","Ethanolamine_Metabolism",1,0.0093211128810242,0.0353080185874171,0.0187203507414364,1.38816332434996,0.165087317449374,0.490784412296629,FALSE
"vCTB1","MMP_ECM_Remodeling",1,0.0322963292791876,0.0400551388072238,0.0145224519497239,0.534263017060339,0.593159575446875,0.734388045791369,FALSE
"vCTB1","Immune_Tolerance",1,0.0323311129006609,0.0381848604874879,0.0166422629136968,0.351739860465098,0.725033364100935,0.793762803356973,FALSE
"vCTB1","Cytotoxic_NK",1,0.0147119710533359,0.0365735403946096,0.0179582529946199,1.21735494708023,0.223469196676863,0.490784412296629,FALSE
"vCTB1","Ethanolamine_Metabolism",1,0.0106972678208011,0.035195062541132,0.0197792111655625,1.23856271499953,0.215507483138513,0.490784412296629,FALSE
"maternal macrophages","MMP_ECM_Remodeling",1,0.0282179373173435,0.0343879329121518,0.0162825525739103,0.378932921473355,0.704737676286894,0.793762803356973,FALSE
"maternal macrophages","Immune_Tolerance",1,0.0179609053228561,0.0331965141446039,0.0163065985254222,0.934321640633616,0.350138004589026,0.52020503538941,FALSE
"maternal macrophages","Cytotoxic_NK",1,0.0396579137320326,0.0325548629888291,0.0190091639006971,-0.373664533939782,0.708653914812199,0.793762803356973,FALSE
"maternal macrophages","Ethanolamine_Metabolism",1,0.0151286163894754,0.0278557859621155,0.0185058949846591,0.687735929305481,0.491619089839761,0.655492119786348,FALSE
"vCTB3","MMP_ECM_Remodeling",1,0.0159763903563009,0.0384812981121514,0.0141480593171604,1.59067089419699,0.111683660482871,0.446734641931483,FALSE
"vCTB3","Immune_Tolerance",1,0.0404460401591005,0.0370267004955989,0.0142886644146686,-0.239304341187196,0.810869599412087,0.826769003322128,FALSE
"vCTB3","Cytotoxic_NK",1,0.0784255383115376,0.0394073861155753,0.0169410673028404,-2.30316952263396,0.0212693068909088,0.326976447059294,FALSE
"vCTB3","Ethanolamine_Metabolism",1,0.0162167394089766,0.0342505908184513,0.0185643400505532,0.971424267651949,0.331337048775082,0.52020503538941,FALSE
