"dataset","version","week","week_num","celltype","n_cells","total_cells","prop","is_fibro","fibro_prop","ratio_to_fibro","log2_ratio_to_fibro"
"Multiome","final","9",9,"EVT1",65,4467,0.0145511528990374,FALSE,0.168793373628834,0.0862068965517241,-3.5360361650748
"Multiome","final","9",9,"EVT2",439,4467,0.098276248041191,FALSE,0.168793373628834,0.582228116710875,-0.780341105849191
"Multiome","final","9",9,"EVT3",168,4467,0.0376091336467428,FALSE,0.168793373628834,0.222811671087533,-2.16609681555169
"Multiome","final","9",9,"Endothelial_cells",45,4467,0.010073875083949,FALSE,0.168793373628834,0.0596816976127321,-4.0665434439846
"Multiome","final","9",9,"Fibroblast1",168,4467,0.0376091336467428,TRUE,0.168793373628834,0.222811671087533,-2.16609681555169
"Multiome","final","9",9,"Fibroblast2",552,4467,0.123572867696441,TRUE,0.168793373628834,0.73209549071618,-0.44989428585405
"Multiome","final","9",9,"Hofbauer cells",40,4467,0.00895455563017685,FALSE,0.168793373628834,0.0530503978779841,-4.23646542383609
"Multiome","final","9",9,"Maternal fibroblast",34,4467,0.00761137228565032,TRUE,0.168793373628834,0.0450928381962865,-4.47092587848893
"Multiome","final","9",9,"STB",223,4467,0.0499216476382359,FALSE,0.168793373628834,0.295755968169761,-1.7575159353653
"Multiome","final","9",9,"maternal macrophages",160,4467,0.0358182225207074,FALSE,0.168793373628834,0.212201591511936,-2.23648581969694
"Multiome","final","9",9,"unknown2",34,4467,0.00761137228565032,FALSE,0.168793373628834,0.0450928381962865,-4.47092587848893
"Multiome","final","9",9,"vCTB1",147,4467,0.0329079919408999,FALSE,0.168793373628834,0.194960212201591,-2.35874096850529
"Multiome","final","9",9,"vCTB2",1847,4467,0.413476606223416,FALSE,0.168793373628834,2.44960212201591,1.29254802666442
"Multiome","final","9",9,"vCTB3",21,4467,0.00470114170584285,FALSE,0.168793373628834,0.0278514588859416,-5.16605149179786
"Multiome","final","9",9,"vCTBp",524,4467,0.117304678755317,FALSE,0.168793373628834,0.694960212201591,-0.52499563579366
"Multiome","reference","10",10,"EVT1",19,8550,0.00222222222222222,FALSE,0.287251461988304,0.00773615635179153,-7.01398085666166
"Multiome","reference","10",10,"EVT2",505,8550,0.0590643274853801,FALSE,0.287251461988304,0.205618892508143,-2.28194825139359
"Multiome","reference","10",10,"EVT3",99,8550,0.0115789473684211,FALSE,0.287251461988304,0.0403094462540717,-4.63270243523935
"Multiome","reference","10",10,"Endothelial_cells",423,8550,0.0494736842105263,FALSE,0.287251461988304,0.172231270358306,-2.53757261577568
"Multiome","reference","10",10,"Fibroblast1",789,8550,0.092280701754386,TRUE,0.287251461988304,0.321254071661238,-1.63820886454112
"Multiome","reference","10",10,"Fibroblast2",1659,8550,0.194035087719298,TRUE,0.287251461988304,0.675488599348534,-0.565994538635897
"Multiome","reference","10",10,"Hofbauer cells",41,8550,0.0047953216374269,FALSE,0.287251461988304,0.0166938110749186,-5.90445642238869
"Multiome","reference","10",10,"Maternal fibroblast",8,8550,0.000935672514619883,TRUE,0.287251461988304,0.00325732899022801,-8.261652005965
"Multiome","reference","10",10,"STB",300,8550,0.0350877192982456,FALSE,0.287251461988304,0.12214983713355,-3.03326434405924
"Multiome","reference","10",10,"maternal macrophages",54,8550,0.00631578947368421,FALSE,0.287251461988304,0.0219869706840391,-5.50714172879103
"Multiome","reference","10",10,"unknown2",121,8550,0.0141520467836257,FALSE,0.287251461988304,0.0492671009771987,-4.34320232526037
"Multiome","reference","10",10,"vCTB2",3135,8550,0.366666666666667,FALSE,0.287251461988304,1.2764657980456,0.352156012544942
"Multiome","reference","10",10,"vCTB3",343,8550,0.0401169590643275,FALSE,0.287251461988304,0.139657980456026,-2.84001974903313
"Multiome","reference","10",10,"vCTBp",1054,8550,0.12327485380117,FALSE,0.287251461988304,0.429153094462541,-1.22043233201106
"Multiome","reference","11",11,"EVT1",8,3949,0.00202582932387946,FALSE,0.188655355786275,0.010738255033557,-6.54096227062917
